2026-07-20 17:30:00.001 [INFO] [System] COWdeploy Edge Benchmarking Suite (Precision: W8A8)
2026-07-20 17:30:00.015 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 17:30:00.030 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 17:30:00.055 [INFO] [Pipeline] Configuration: 
    - Detection Backend: QNN (Hexagon DSP) - yolov8n-seg_w8a8.bin
    - Feature Extractor Backend: QNN (Hexagon DSP) - dinov2_vits14_w8a8.bin
2026-07-20 17:30:00.110 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 17:30:00.120 [INFO] [QNN] Loading libQnnHtp.so (Hexagon Tensor Processor)...
2026-07-20 17:30:00.165 [INFO] [QNN] Loading context binary yolov8n-seg_w8a8.bin to CDSP...
2026-07-20 17:30:00.175 [INFO] [QNN] Model loaded. Optimized for W8A8.
2026-07-20 17:30:00.180 [INFO] [Pipeline] Starting main video processing loop...
2026-07-20 17:30:00.203 [DEBUG] [Frame 0000] Decode(GPU): 10.3ms | Preprocess: 1.2ms | YOLO(w8a8): 11.5ms | DINOv2: Skipped | Total: 23.8ms
2026-07-20 17:30:00.491 [DEBUG] [Frame 0011] Decode(GPU): 12.0ms | Preprocess: 1.5ms | YOLO(w8a8): 12.3ms | DINOv2: Skipped | Total: 26.7ms
2026-07-20 17:30:00.519 [DEBUG] [Frame 0012] Decode(GPU): 12.7ms | Preprocess: 1.0ms | YOLO(w8a8): 13.7ms | DINOv2: Skipped | Total: 27.9ms
2026-07-20 17:30:00.544 [DEBUG] [Frame 0013] Decode(GPU): 11.7ms | Preprocess: 1.3ms | YOLO(w8a8): 11.5ms | DINOv2: Skipped | Total: 25.2ms
2026-07-20 17:30:00.572 [DEBUG] [Frame 0014] Decode(GPU): 12.5ms | Preprocess: 1.3ms | YOLO(w8a8): 12.6ms | DINOv2: Skipped | Total: 27.4ms
2026-07-20 17:30:00.597 [DEBUG] [Frame 0015] Decode(GPU): 10.9ms | Preprocess: 1.2ms | YOLO(w8a8): 12.3ms | DINOv2: Skipped | Total: 25.0ms
2026-07-20 17:30:00.623 [DEBUG] [Frame 0016] Decode(GPU): 10.8ms | Preprocess: 1.5ms | YOLO(w8a8): 13.9ms | DINOv2: Skipped | Total: 26.8ms
2026-07-20 17:30:00.648 [DEBUG] [Frame 0017] Decode(GPU): 11.2ms | Preprocess: 1.2ms | YOLO(w8a8): 11.5ms | DINOv2: Skipped | Total: 24.5ms
2026-07-20 17:30:00.675 [DEBUG] [Frame 0018] Decode(GPU): 11.1ms | Preprocess: 1.4ms | YOLO(w8a8): 13.3ms | DINOv2: Skipped | Total: 26.7ms
2026-07-20 17:30:00.700 [DEBUG] [Frame 0019] Decode(GPU): 11.3ms | Preprocess: 1.1ms | YOLO(w8a8): 12.1ms | DINOv2: Skipped | Total: 25.3ms
2026-07-20 17:30:00.727 [DEBUG] [Frame 0020] Decode(GPU): 12.5ms | Preprocess: 1.1ms | YOLO(w8a8): 12.4ms | DINOv2: Skipped | Total: 26.8ms
2026-07-20 17:30:00.754 [DEBUG] [Frame 0021] Decode(GPU): 11.8ms | Preprocess: 1.4ms | YOLO(w8a8): 13.1ms | DINOv2: Skipped | Total: 27.0ms
2026-07-20 17:30:00.781 [DEBUG] [Frame 0022] Decode(GPU): 12.3ms | Preprocess: 1.2ms | YOLO(w8a8): 12.9ms | DINOv2: Skipped | Total: 27.3ms
2026-07-20 17:30:00.807 [DEBUG] [Frame 0023] Decode(GPU): 11.4ms | Preprocess: 1.5ms | YOLO(w8a8): 12.2ms | DINOv2: Skipped | Total: 25.9ms
2026-07-20 17:30:00.834 [DEBUG] [Frame 0024] Decode(GPU): 11.4ms | Preprocess: 1.4ms | YOLO(w8a8): 13.5ms | DINOv2: Skipped | Total: 26.9ms
2026-07-20 17:30:00.859 [DEBUG] [Frame 0025] Decode(GPU): 10.5ms | Preprocess: 1.1ms | YOLO(w8a8): 11.8ms | DINOv2: Skipped | Total: 24.5ms
2026-07-20 17:30:00.884 [DEBUG] [Frame 0026] Decode(GPU): 10.6ms | Preprocess: 1.2ms | YOLO(w8a8): 13.1ms | DINOv2: Skipped | Total: 25.4ms
2026-07-20 17:30:00.910 [DEBUG] [Frame 0027] Decode(GPU): 11.4ms | Preprocess: 1.4ms | YOLO(w8a8): 12.8ms | DINOv2: Skipped | Total: 26.5ms
2026-07-20 17:30:00.935 [DEBUG] [Frame 0028] Decode(GPU): 10.3ms | Preprocess: 1.5ms | YOLO(w8a8): 12.5ms | DINOv2: Skipped | Total: 24.9ms
2026-07-20 17:30:00.961 [DEBUG] [Frame 0029] Decode(GPU): 11.2ms | Preprocess: 1.2ms | YOLO(w8a8): 13.0ms | DINOv2: Skipped | Total: 25.9ms
2026-07-20 17:30:00.986 [DEBUG] [Frame 0030] Decode(GPU): 11.0ms | Preprocess: 1.5ms | YOLO(w8a8): 11.5ms | DINOv2: Skipped | Total: 24.7ms
2026-07-20 17:30:01.012 [DEBUG] [Frame 0031] Decode(GPU): 12.0ms | Preprocess: 1.2ms | YOLO(w8a8): 12.2ms | DINOv2: Skipped | Total: 26.0ms
2026-07-20 17:30:01.038 [DEBUG] [Frame 0032] Decode(GPU): 11.1ms | Preprocess: 1.5ms | YOLO(w8a8): 12.8ms | DINOv2: Skipped | Total: 26.0ms
2026-07-20 17:30:01.063 [DEBUG] [Frame 0033] Decode(GPU): 11.0ms | Preprocess: 1.0ms | YOLO(w8a8): 12.7ms | DINOv2: Skipped | Total: 25.5ms
2026-07-20 17:30:01.090 [DEBUG] [Frame 0034] Decode(GPU): 10.9ms | Preprocess: 1.5ms | YOLO(w8a8): 13.5ms | DINOv2: Skipped | Total: 26.5ms
2026-07-20 17:30:01.115 [DEBUG] [Frame 0035] Decode(GPU): 10.6ms | Preprocess: 1.3ms | YOLO(w8a8): 12.9ms | DINOv2: Skipped | Total: 25.4ms
2026-07-20 17:30:01.143 [DEBUG] [Frame 0036] Decode(GPU): 11.6ms | Preprocess: 1.1ms | YOLO(w8a8): 13.9ms | DINOv2: Skipped | Total: 27.6ms
2026-07-20 17:30:01.169 [DEBUG] [Frame 0037] Decode(GPU): 12.4ms | Preprocess: 1.2ms | YOLO(w8a8): 11.4ms | DINOv2: Skipped | Total: 25.9ms
2026-07-20 17:30:01.195 [DEBUG] [Frame 0038] Decode(GPU): 10.7ms | Preprocess: 1.3ms | YOLO(w8a8): 13.0ms | DINOv2: Skipped | Total: 26.0ms
2026-07-20 17:30:01.221 [DEBUG] [Frame 0039] Decode(GPU): 10.8ms | Preprocess: 1.3ms | YOLO(w8a8): 13.7ms | DINOv2: Skipped | Total: 26.6ms
2026-07-20 17:30:01.246 [DEBUG] [Frame 0040] Decode(GPU): 10.4ms | Preprocess: 1.1ms | YOLO(w8a8): 12.2ms | DINOv2: Skipped | Total: 24.4ms
2026-07-20 17:30:01.274 [DEBUG] [Frame 0041] Decode(GPU): 12.5ms | Preprocess: 1.3ms | YOLO(w8a8): 13.2ms | DINOv2: Skipped | Total: 27.8ms
2026-07-20 17:30:01.301 [DEBUG] [Frame 0042] Decode(GPU): 12.0ms | Preprocess: 1.0ms | YOLO(w8a8): 13.3ms | DINOv2: Skipped | Total: 27.2ms
2026-07-20 17:30:01.328 [DEBUG] [Frame 0043] Decode(GPU): 12.3ms | Preprocess: 1.1ms | YOLO(w8a8): 13.4ms | DINOv2: Skipped | Total: 27.4ms
2026-07-20 17:30:01.355 [DEBUG] [Frame 0044] Decode(GPU): 11.9ms | Preprocess: 1.2ms | YOLO(w8a8): 13.1ms | DINOv2: Skipped | Total: 27.0ms
2026-07-20 17:30:01.381 [DEBUG] [Frame 0045] Decode(GPU): 12.3ms | Preprocess: 1.1ms | YOLO(w8a8): 11.7ms | DINOv2: Skipped | Total: 25.7ms
2026-07-20 17:30:01.407 [DEBUG] [Frame 0046] Decode(GPU): 11.2ms | Preprocess: 1.0ms | YOLO(w8a8): 13.4ms | DINOv2: Skipped | Total: 26.4ms
2026-07-20 17:30:01.432 [DEBUG] [Frame 0047] Decode(GPU): 11.5ms | Preprocess: 1.2ms | YOLO(w8a8): 11.7ms | DINOv2: Skipped | Total: 24.9ms
2026-07-20 17:30:01.459 [DEBUG] [Frame 0048] Decode(GPU): 12.6ms | Preprocess: 1.0ms | YOLO(w8a8): 12.8ms | DINOv2: Skipped | Total: 27.1ms
2026-07-20 17:30:01.484 [DEBUG] [Frame 0049] Decode(GPU): 10.9ms | Preprocess: 1.1ms | YOLO(w8a8): 12.4ms | DINOv2: Skipped | Total: 25.0ms
2026-07-20 17:30:01.509 [DEBUG] [Frame 0050] Decode(GPU): 10.5ms | Preprocess: 1.4ms | YOLO(w8a8): 11.8ms | DINOv2: Skipped | Total: 24.6ms
2026-07-20 17:30:01.535 [DEBUG] [Frame 0051] Decode(GPU): 12.5ms | Preprocess: 1.0ms | YOLO(w8a8): 11.5ms | DINOv2: Skipped | Total: 25.8ms
2026-07-20 17:30:01.561 [DEBUG] [Frame 0052] Decode(GPU): 12.6ms | Preprocess: 1.2ms | YOLO(w8a8): 12.0ms | DINOv2: Skipped | Total: 26.8ms
2026-07-20 17:30:01.587 [DEBUG] [Frame 0053] Decode(GPU): 10.6ms | Preprocess: 1.2ms | YOLO(w8a8): 13.0ms | DINOv2: Skipped | Total: 25.4ms
2026-07-20 17:30:01.614 [DEBUG] [Frame 0054] Decode(GPU): 11.6ms | Preprocess: 1.4ms | YOLO(w8a8): 13.2ms | DINOv2: Skipped | Total: 27.0ms
2026-07-20 17:30:01.640 [DEBUG] [Frame 0055] Decode(GPU): 12.4ms | Preprocess: 1.0ms | YOLO(w8a8): 12.3ms | DINOv2: Skipped | Total: 26.4ms
2026-07-20 17:30:01.665 [DEBUG] [Frame 0056] Decode(GPU): 11.0ms | Preprocess: 1.3ms | YOLO(w8a8): 11.7ms | DINOv2: Skipped | Total: 24.6ms
2026-07-20 17:30:01.691 [DEBUG] [Frame 0057] Decode(GPU): 10.9ms | Preprocess: 1.4ms | YOLO(w8a8): 13.2ms | DINOv2: Skipped | Total: 26.4ms
2026-07-20 17:30:01.717 [DEBUG] [Frame 0058] Decode(GPU): 11.7ms | Preprocess: 1.4ms | YOLO(w8a8): 12.3ms | DINOv2: Skipped | Total: 26.3ms
2026-07-20 17:30:01.743 [DEBUG] [Frame 0059] Decode(GPU): 11.4ms | Preprocess: 1.5ms | YOLO(w8a8): 11.9ms | DINOv2: Skipped | Total: 25.4ms
2026-07-20 17:30:01.769 [DEBUG] [Frame 0060] Decode(GPU): 12.2ms | Preprocess: 1.4ms | YOLO(w8a8): 12.0ms | DINOv2: Skipped | Total: 26.5ms
2026-07-20 17:30:01.796 [DEBUG] [Frame 0061] Decode(GPU): 11.9ms | Preprocess: 1.1ms | YOLO(w8a8): 13.3ms | DINOv2: Skipped | Total: 26.8ms
2026-07-20 17:30:01.823 [DEBUG] [Frame 0062] Decode(GPU): 12.3ms | Preprocess: 1.2ms | YOLO(w8a8): 13.2ms | DINOv2: Skipped | Total: 27.4ms
2026-07-20 17:30:01.849 [DEBUG] [Frame 0063] Decode(GPU): 10.3ms | Preprocess: 1.2ms | YOLO(w8a8): 13.6ms | DINOv2: Skipped | Total: 25.7ms
2026-07-20 17:30:01.875 [DEBUG] [Frame 0064] Decode(GPU): 10.2ms | Preprocess: 1.5ms | YOLO(w8a8): 13.2ms | DINOv2: Skipped | Total: 25.8ms
2026-07-20 17:30:01.902 [DEBUG] [Frame 0065] Decode(GPU): 12.5ms | Preprocess: 1.2ms | YOLO(w8a8): 12.2ms | DINOv2: Skipped | Total: 26.6ms
2026-07-20 17:30:01.926 [DEBUG] [Frame 0066] Decode(GPU): 11.1ms | Preprocess: 1.3ms | YOLO(w8a8): 11.5ms | DINOv2: Skipped | Total: 24.5ms
2026-07-20 17:30:01.953 [DEBUG] [Frame 0067] Decode(GPU): 12.7ms | Preprocess: 1.5ms | YOLO(w8a8): 12.0ms | DINOv2: Skipped | Total: 26.8ms
2026-07-20 17:30:01.978 [DEBUG] [Frame 0068] Decode(GPU): 12.0ms | Preprocess: 1.2ms | YOLO(w8a8): 11.9ms | DINOv2: Skipped | Total: 25.5ms
2026-07-20 17:30:02.006 [DEBUG] [Frame 0069] Decode(GPU): 12.5ms | Preprocess: 1.2ms | YOLO(w8a8): 13.3ms | DINOv2: Skipped | Total: 27.7ms
2026-07-20 17:30:02.035 [DEBUG] [Frame 0070] Decode(GPU): 12.4ms | Preprocess: 1.5ms | YOLO(w8a8): 13.7ms | DINOv2: Skipped | Total: 28.6ms
2026-07-20 17:30:02.060 [DEBUG] [Frame 0071] Decode(GPU): 11.4ms | Preprocess: 1.1ms | YOLO(w8a8): 11.6ms | DINOv2: Skipped | Total: 25.0ms
2026-07-20 17:30:02.085 [DEBUG] [Frame 0072] Decode(GPU): 11.2ms | Preprocess: 1.4ms | YOLO(w8a8): 12.5ms | DINOv2: Skipped | Total: 25.7ms
2026-07-20 17:30:02.112 [DEBUG] [Frame 0073] Decode(GPU): 10.7ms | Preprocess: 1.3ms | YOLO(w8a8): 13.3ms | DINOv2: Skipped | Total: 26.3ms
2026-07-20 17:30:02.137 [DEBUG] [Frame 0074] Decode(GPU): 11.4ms | Preprocess: 1.2ms | YOLO(w8a8): 11.6ms | DINOv2: Skipped | Total: 24.8ms
2026-07-20 17:30:02.162 [DEBUG] [Frame 0075] Decode(GPU): 11.9ms | Preprocess: 1.0ms | YOLO(w8a8): 12.1ms | DINOv2: Skipped | Total: 25.9ms
2026-07-20 17:30:02.190 [DEBUG] [Frame 0076] Decode(GPU): 12.2ms | Preprocess: 1.2ms | YOLO(w8a8): 13.4ms | DINOv2: Skipped | Total: 27.4ms
2026-07-20 17:30:02.216 [DEBUG] [Frame 0077] Decode(GPU): 10.8ms | Preprocess: 1.4ms | YOLO(w8a8): 13.2ms | DINOv2: Skipped | Total: 26.3ms
2026-07-20 17:30:02.241 [DEBUG] [Frame 0078] Decode(GPU): 10.3ms | Preprocess: 1.3ms | YOLO(w8a8): 13.0ms | DINOv2: Skipped | Total: 25.3ms
2026-07-20 17:30:02.269 [DEBUG] [Frame 0079] Decode(GPU): 12.1ms | Preprocess: 1.3ms | YOLO(w8a8): 13.5ms | DINOv2: Skipped | Total: 27.4ms
2026-07-20 17:30:02.295 [DEBUG] [Frame 0080] Decode(GPU): 11.2ms | Preprocess: 1.5ms | YOLO(w8a8): 13.1ms | DINOv2: Skipped | Total: 26.3ms
2026-07-20 17:30:02.321 [DEBUG] [Frame 0081] Decode(GPU): 10.5ms | Preprocess: 1.2ms | YOLO(w8a8): 13.1ms | DINOv2: Skipped | Total: 25.7ms
2026-07-20 17:30:02.348 [DEBUG] [Frame 0082] Decode(GPU): 10.9ms | Preprocess: 1.4ms | YOLO(w8a8): 13.8ms | DINOv2: Skipped | Total: 26.6ms
2026-07-20 17:30:02.375 [DEBUG] [Frame 0083] Decode(GPU): 12.6ms | Preprocess: 1.2ms | YOLO(w8a8): 12.7ms | DINOv2: Skipped | Total: 27.0ms
2026-07-20 17:30:02.401 [DEBUG] [Frame 0084] Decode(GPU): 11.9ms | Preprocess: 1.0ms | YOLO(w8a8): 12.1ms | DINOv2: Skipped | Total: 26.0ms
2026-07-20 17:30:02.427 [DEBUG] [Frame 0085] Decode(GPU): 11.9ms | Preprocess: 1.4ms | YOLO(w8a8): 12.0ms | DINOv2: Skipped | Total: 26.0ms
2026-07-20 17:30:02.451 [DEBUG] [Frame 0086] Decode(GPU): 10.3ms | Preprocess: 1.4ms | YOLO(w8a8): 11.8ms | DINOv2: Skipped | Total: 24.1ms
2026-07-20 17:30:02.477 [DEBUG] [Frame 0087] Decode(GPU): 11.4ms | Preprocess: 1.3ms | YOLO(w8a8): 12.5ms | DINOv2: Skipped | Total: 25.8ms
2026-07-20 17:30:02.502 [DEBUG] [Frame 0088] Decode(GPU): 11.4ms | Preprocess: 1.5ms | YOLO(w8a8): 12.3ms | DINOv2: Skipped | Total: 25.8ms
2026-07-20 17:30:02.528 [DEBUG] [Frame 0089] Decode(GPU): 10.5ms | Preprocess: 1.0ms | YOLO(w8a8): 13.7ms | DINOv2: Skipped | Total: 25.8ms
2026-07-20 17:30:02.555 [DEBUG] [Frame 0090] Decode(GPU): 11.6ms | Preprocess: 1.4ms | YOLO(w8a8): 13.4ms | DINOv2: Skipped | Total: 27.2ms
2026-07-20 17:30:02.583 [DEBUG] [Frame 0091] Decode(GPU): 11.7ms | Preprocess: 1.4ms | YOLO(w8a8): 13.4ms | DINOv2: Skipped | Total: 27.2ms
2026-07-20 17:30:02.610 [DEBUG] [Frame 0092] Decode(GPU): 12.6ms | Preprocess: 1.1ms | YOLO(w8a8): 13.0ms | DINOv2: Skipped | Total: 27.5ms
2026-07-20 17:30:02.636 [DEBUG] [Frame 0093] Decode(GPU): 11.1ms | Preprocess: 1.4ms | YOLO(w8a8): 12.7ms | DINOv2: Skipped | Total: 25.9ms
2026-07-20 17:30:02.664 [DEBUG] [Frame 0094] Decode(GPU): 12.6ms | Preprocess: 1.4ms | YOLO(w8a8): 13.3ms | DINOv2: Skipped | Total: 28.0ms
2026-07-20 17:30:02.690 [DEBUG] [Frame 0095] Decode(GPU): 11.1ms | Preprocess: 1.2ms | YOLO(w8a8): 13.3ms | DINOv2: Skipped | Total: 26.1ms
2026-07-20 17:30:02.715 [DEBUG] [Frame 0096] Decode(GPU): 10.3ms | Preprocess: 1.5ms | YOLO(w8a8): 12.3ms | DINOv2: Skipped | Total: 24.7ms
2026-07-20 17:30:02.740 [DEBUG] [Frame 0097] Decode(GPU): 10.2ms | Preprocess: 1.4ms | YOLO(w8a8): 12.6ms | DINOv2: Skipped | Total: 25.1ms
2026-07-20 17:30:02.766 [DEBUG] [Frame 0098] Decode(GPU): 11.7ms | Preprocess: 1.1ms | YOLO(w8a8): 12.5ms | DINOv2: Skipped | Total: 26.1ms
2026-07-20 17:30:02.790 [DEBUG] [Frame 0099] Decode(GPU): 10.6ms | Preprocess: 1.2ms | YOLO(w8a8): 11.5ms | DINOv2: Skipped | Total: 23.9ms
2026-07-20 17:30:02.814 [DEBUG] [Frame 0100] Decode(GPU): 10.6ms | Preprocess: 1.5ms | YOLO(w8a8): 12.0ms | DINOv2: Skipped | Total: 24.7ms
2026-07-20 17:30:02.841 [DEBUG] [Frame 0101] Decode(GPU): 11.2ms | Preprocess: 1.3ms | YOLO(w8a8): 12.8ms | DINOv2: Skipped | Total: 26.2ms
2026-07-20 17:30:02.866 [DEBUG] [Frame 0102] Decode(GPU): 11.7ms | Preprocess: 1.5ms | YOLO(w8a8): 12.0ms | DINOv2: Skipped | Total: 25.8ms
2026-07-20 17:30:02.891 [DEBUG] [Frame 0103] Decode(GPU): 11.0ms | Preprocess: 1.4ms | YOLO(w8a8): 11.6ms | DINOv2: Skipped | Total: 24.7ms
2026-07-20 17:30:02.917 [DEBUG] [Frame 0104] Decode(GPU): 10.7ms | Preprocess: 1.3ms | YOLO(w8a8): 12.7ms | DINOv2: Skipped | Total: 25.4ms
2026-07-20 17:30:02.944 [DEBUG] [Frame 0105] Decode(GPU): 11.7ms | Preprocess: 1.2ms | YOLO(w8a8): 13.4ms | DINOv2: Skipped | Total: 27.0ms
2026-07-20 17:30:02.970 [DEBUG] [Frame 0106] Decode(GPU): 12.0ms | Preprocess: 1.3ms | YOLO(w8a8): 12.4ms | DINOv2: Skipped | Total: 26.5ms
2026-07-20 17:30:02.996 [DEBUG] [Frame 0107] Decode(GPU): 11.6ms | Preprocess: 1.3ms | YOLO(w8a8): 12.6ms | DINOv2: Skipped | Total: 26.0ms
2026-07-20 17:30:03.021 [DEBUG] [Frame 0108] Decode(GPU): 10.7ms | Preprocess: 1.5ms | YOLO(w8a8): 12.5ms | DINOv2: Skipped | Total: 25.3ms
2026-07-20 17:30:03.047 [DEBUG] [Frame 0109] Decode(GPU): 11.5ms | Preprocess: 1.3ms | YOLO(w8a8): 12.1ms | DINOv2: Skipped | Total: 25.8ms
2026-07-20 17:30:03.074 [DEBUG] [Frame 0110] Decode(GPU): 11.2ms | Preprocess: 1.0ms | YOLO(w8a8): 13.9ms | DINOv2: Skipped | Total: 26.9ms
2026-07-20 17:30:03.102 [DEBUG] [Frame 0111] Decode(GPU): 12.6ms | Preprocess: 1.3ms | YOLO(w8a8): 13.1ms | DINOv2: Skipped | Total: 28.0ms
2026-07-20 17:30:03.129 [DEBUG] [Frame 0112] Decode(GPU): 12.4ms | Preprocess: 1.1ms | YOLO(w8a8): 12.6ms | DINOv2: Skipped | Total: 26.9ms
2026-07-20 17:30:03.156 [DEBUG] [Frame 0113] Decode(GPU): 11.2ms | Preprocess: 1.2ms | YOLO(w8a8): 13.9ms | DINOv2: Skipped | Total: 26.8ms
2026-07-20 17:30:03.181 [DEBUG] [Frame 0114] Decode(GPU): 10.9ms | Preprocess: 1.2ms | YOLO(w8a8): 12.4ms | DINOv2: Skipped | Total: 25.3ms
2026-07-20 17:30:03.206 [DEBUG] [Frame 0115] Decode(GPU): 11.1ms | Preprocess: 1.1ms | YOLO(w8a8): 11.9ms | DINOv2: Skipped | Total: 24.9ms
2026-07-20 17:30:03.231 [DEBUG] [Frame 0116] Decode(GPU): 11.2ms | Preprocess: 1.0ms | YOLO(w8a8): 12.6ms | DINOv2: Skipped | Total: 25.6ms
2026-07-20 17:30:03.257 [DEBUG] [Frame 0117] Decode(GPU): 12.4ms | Preprocess: 1.2ms | YOLO(w8a8): 11.6ms | DINOv2: Skipped | Total: 25.8ms
2026-07-20 17:30:03.283 [DEBUG] [Frame 0118] Decode(GPU): 12.1ms | Preprocess: 1.2ms | YOLO(w8a8): 11.9ms | DINOv2: Skipped | Total: 26.0ms
2026-07-20 17:30:03.309 [DEBUG] [Frame 0119] Decode(GPU): 12.0ms | Preprocess: 1.2ms | YOLO(w8a8): 11.8ms | DINOv2: Skipped | Total: 25.7ms
2026-07-20 17:30:03.335 [DEBUG] [Frame 0120] Decode(GPU): 10.3ms | Preprocess: 1.4ms | YOLO(w8a8): 13.9ms | DINOv2: Skipped | Total: 26.2ms
2026-07-20 17:30:03.360 [DEBUG] [Frame 0121] Decode(GPU): 10.4ms | Preprocess: 1.5ms | YOLO(w8a8): 12.2ms | DINOv2: Skipped | Total: 24.8ms
2026-07-20 17:30:03.385 [DEBUG] [Frame 0122] Decode(GPU): 10.6ms | Preprocess: 1.4ms | YOLO(w8a8): 12.4ms | DINOv2: Skipped | Total: 24.9ms
2026-07-20 17:30:03.409 [DEBUG] [Frame 0123] Decode(GPU): 11.1ms | Preprocess: 1.1ms | YOLO(w8a8): 11.9ms | DINOv2: Skipped | Total: 24.7ms
2026-07-20 17:30:03.435 [DEBUG] [Frame 0124] Decode(GPU): 10.4ms | Preprocess: 1.0ms | YOLO(w8a8): 13.4ms | DINOv2: Skipped | Total: 25.4ms
2026-07-20 17:30:03.463 [DEBUG] [Frame 0125] Decode(GPU): 12.4ms | Preprocess: 1.4ms | YOLO(w8a8): 13.8ms | DINOv2: Skipped | Total: 28.4ms
2026-07-20 17:30:03.490 [DEBUG] [Frame 0126] Decode(GPU): 12.6ms | Preprocess: 1.1ms | YOLO(w8a8): 11.9ms | DINOv2: Skipped | Total: 26.5ms
2026-07-20 17:30:03.517 [DEBUG] [Frame 0127] Decode(GPU): 11.5ms | Preprocess: 1.2ms | YOLO(w8a8): 13.8ms | DINOv2: Skipped | Total: 27.3ms
2026-07-20 17:30:03.542 [DEBUG] [Frame 0128] Decode(GPU): 10.6ms | Preprocess: 1.2ms | YOLO(w8a8): 12.1ms | DINOv2: Skipped | Total: 24.5ms
2026-07-20 17:30:03.568 [DEBUG] [Frame 0129] Decode(GPU): 11.4ms | Preprocess: 1.0ms | YOLO(w8a8): 13.5ms | DINOv2: Skipped | Total: 26.8ms
2026-07-20 17:30:03.594 [DEBUG] [Frame 0130] Decode(GPU): 11.5ms | Preprocess: 1.5ms | YOLO(w8a8): 12.0ms | DINOv2: Skipped | Total: 25.6ms
2026-07-20 17:30:03.622 [DEBUG] [Frame 0131] Decode(GPU): 12.0ms | Preprocess: 1.4ms | YOLO(w8a8): 13.7ms | DINOv2: Skipped | Total: 28.1ms
2026-07-20 17:30:03.647 [DEBUG] [Frame 0132] Decode(GPU): 10.8ms | Preprocess: 1.1ms | YOLO(w8a8): 12.1ms | DINOv2: Skipped | Total: 24.4ms
