2026-07-20 17:30:00.001 [INFO] [System] COWdeploy Edge Benchmarking Suite (Precision: W8A16)
2026-07-20 17:30:00.015 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 17:30:00.030 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 17:30:00.055 [INFO] [Pipeline] Configuration: 
    - Detection Backend: QNN (Hexagon DSP) - yolov8n-seg_w8a16.bin
    - Feature Extractor Backend: QNN (Hexagon DSP) - dinov2_vits14_w8a16.bin
2026-07-20 17:30:00.110 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 17:30:00.120 [INFO] [QNN] Loading libQnnHtp.so (Hexagon Tensor Processor)...
2026-07-20 17:30:00.165 [INFO] [QNN] Loading context binary yolov8n-seg_w8a16.bin to CDSP...
2026-07-20 17:30:00.175 [INFO] [QNN] Model loaded. Optimized for W8A16.
2026-07-20 17:30:00.180 [INFO] [Pipeline] Starting main video processing loop...
2026-07-20 17:30:00.210 [DEBUG] [Frame 0000] Decode(GPU): 10.8ms | Preprocess: 1.2ms | YOLO(w8a16): 17.5ms | DINOv2: Skipped | Total: 30.4ms
2026-07-20 17:30:00.646 [DEBUG] [Frame 0014] Decode(GPU): 10.7ms | Preprocess: 1.2ms | YOLO(w8a16): 16.8ms | DINOv2: Skipped | Total: 29.6ms
2026-07-20 17:30:00.678 [DEBUG] [Frame 0015] Decode(GPU): 11.2ms | Preprocess: 1.4ms | YOLO(w8a16): 18.4ms | DINOv2: Skipped | Total: 31.9ms
2026-07-20 17:30:00.709 [DEBUG] [Frame 0016] Decode(GPU): 12.6ms | Preprocess: 1.2ms | YOLO(w8a16): 16.6ms | DINOv2: Skipped | Total: 31.2ms
2026-07-20 17:30:00.740 [DEBUG] [Frame 0017] Decode(GPU): 11.7ms | Preprocess: 1.4ms | YOLO(w8a16): 17.5ms | DINOv2: Skipped | Total: 31.4ms
2026-07-20 17:30:00.771 [DEBUG] [Frame 0018] Decode(GPU): 11.3ms | Preprocess: 1.1ms | YOLO(w8a16): 17.4ms | DINOv2: Skipped | Total: 30.5ms
2026-07-20 17:30:00.801 [DEBUG] [Frame 0019] Decode(GPU): 11.2ms | Preprocess: 1.1ms | YOLO(w8a16): 17.6ms | DINOv2: Skipped | Total: 30.4ms
2026-07-20 17:30:00.833 [DEBUG] [Frame 0020] Decode(GPU): 12.7ms | Preprocess: 1.4ms | YOLO(w8a16): 16.7ms | DINOv2: Skipped | Total: 31.7ms
2026-07-20 17:30:00.865 [DEBUG] [Frame 0021] Decode(GPU): 12.4ms | Preprocess: 1.5ms | YOLO(w8a16): 18.0ms | DINOv2: Skipped | Total: 32.3ms
2026-07-20 17:30:00.897 [DEBUG] [Frame 0022] Decode(GPU): 11.4ms | Preprocess: 1.3ms | YOLO(w8a16): 18.5ms | DINOv2: Skipped | Total: 32.1ms
2026-07-20 17:30:00.927 [DEBUG] [Frame 0023] Decode(GPU): 11.0ms | Preprocess: 1.4ms | YOLO(w8a16): 16.6ms | DINOv2: Skipped | Total: 29.8ms
2026-07-20 17:30:00.959 [DEBUG] [Frame 0024] Decode(GPU): 10.9ms | Preprocess: 1.5ms | YOLO(w8a16): 18.9ms | DINOv2: Skipped | Total: 32.1ms
2026-07-20 17:30:00.991 [DEBUG] [Frame 0025] Decode(GPU): 12.6ms | Preprocess: 1.1ms | YOLO(w8a16): 17.2ms | DINOv2: Skipped | Total: 31.7ms
2026-07-20 17:30:01.021 [DEBUG] [Frame 0026] Decode(GPU): 11.7ms | Preprocess: 1.0ms | YOLO(w8a16): 16.9ms | DINOv2: Skipped | Total: 30.5ms
2026-07-20 17:30:01.052 [DEBUG] [Frame 0027] Decode(GPU): 11.5ms | Preprocess: 1.2ms | YOLO(w8a16): 17.2ms | DINOv2: Skipped | Total: 30.4ms
2026-07-20 17:30:01.084 [DEBUG] [Frame 0028] Decode(GPU): 12.4ms | Preprocess: 1.2ms | YOLO(w8a16): 17.7ms | DINOv2: Skipped | Total: 32.2ms
2026-07-20 17:30:01.116 [DEBUG] [Frame 0029] Decode(GPU): 10.3ms | Preprocess: 1.5ms | YOLO(w8a16): 19.0ms | DINOv2: Skipped | Total: 31.6ms
2026-07-20 17:30:01.148 [DEBUG] [Frame 0030] Decode(GPU): 12.6ms | Preprocess: 1.5ms | YOLO(w8a16): 17.9ms | DINOv2: Skipped | Total: 32.5ms
2026-07-20 17:30:01.180 [DEBUG] [Frame 0031] Decode(GPU): 12.2ms | Preprocess: 1.4ms | YOLO(w8a16): 17.9ms | DINOv2: Skipped | Total: 32.0ms
2026-07-20 17:30:01.212 [DEBUG] [Frame 0032] Decode(GPU): 10.7ms | Preprocess: 1.4ms | YOLO(w8a16): 18.8ms | DINOv2: Skipped | Total: 31.8ms
2026-07-20 17:30:01.242 [DEBUG] [Frame 0033] Decode(GPU): 10.5ms | Preprocess: 1.1ms | YOLO(w8a16): 18.2ms | DINOv2: Skipped | Total: 30.4ms
2026-07-20 17:30:01.274 [DEBUG] [Frame 0034] Decode(GPU): 12.0ms | Preprocess: 1.1ms | YOLO(w8a16): 18.2ms | DINOv2: Skipped | Total: 31.9ms
2026-07-20 17:30:01.306 [DEBUG] [Frame 0035] Decode(GPU): 12.1ms | Preprocess: 1.4ms | YOLO(w8a16): 17.5ms | DINOv2: Skipped | Total: 32.0ms
2026-07-20 17:30:01.337 [DEBUG] [Frame 0036] Decode(GPU): 11.2ms | Preprocess: 1.1ms | YOLO(w8a16): 17.4ms | DINOv2: Skipped | Total: 30.4ms
2026-07-20 17:30:01.368 [DEBUG] [Frame 0037] Decode(GPU): 12.1ms | Preprocess: 1.0ms | YOLO(w8a16): 17.6ms | DINOv2: Skipped | Total: 31.3ms
2026-07-20 17:30:01.400 [DEBUG] [Frame 0038] Decode(GPU): 11.6ms | Preprocess: 1.3ms | YOLO(w8a16): 17.9ms | DINOv2: Skipped | Total: 31.7ms
2026-07-20 17:30:01.429 [DEBUG] [Frame 0039] Decode(GPU): 10.7ms | Preprocess: 1.3ms | YOLO(w8a16): 17.0ms | DINOv2: Skipped | Total: 29.7ms
2026-07-20 17:30:01.461 [DEBUG] [Frame 0040] Decode(GPU): 11.6ms | Preprocess: 1.1ms | YOLO(w8a16): 18.3ms | DINOv2: Skipped | Total: 31.8ms
2026-07-20 17:30:01.493 [DEBUG] [Frame 0041] Decode(GPU): 12.3ms | Preprocess: 1.4ms | YOLO(w8a16): 16.9ms | DINOv2: Skipped | Total: 31.3ms
2026-07-20 17:30:01.525 [DEBUG] [Frame 0042] Decode(GPU): 12.2ms | Preprocess: 1.1ms | YOLO(w8a16): 18.8ms | DINOv2: Skipped | Total: 32.5ms
2026-07-20 17:30:01.557 [DEBUG] [Frame 0043] Decode(GPU): 12.7ms | Preprocess: 1.3ms | YOLO(w8a16): 16.8ms | DINOv2: Skipped | Total: 31.6ms
2026-07-20 17:30:01.588 [DEBUG] [Frame 0044] Decode(GPU): 12.2ms | Preprocess: 1.2ms | YOLO(w8a16): 16.6ms | DINOv2: Skipped | Total: 30.8ms
2026-07-20 17:30:01.619 [DEBUG] [Frame 0045] Decode(GPU): 12.6ms | Preprocess: 1.3ms | YOLO(w8a16): 17.2ms | DINOv2: Skipped | Total: 31.9ms
2026-07-20 17:30:01.650 [DEBUG] [Frame 0046] Decode(GPU): 11.4ms | Preprocess: 1.3ms | YOLO(w8a16): 17.1ms | DINOv2: Skipped | Total: 30.5ms
2026-07-20 17:30:01.683 [DEBUG] [Frame 0047] Decode(GPU): 12.0ms | Preprocess: 1.3ms | YOLO(w8a16): 18.4ms | DINOv2: Skipped | Total: 32.7ms
2026-07-20 17:30:01.715 [DEBUG] [Frame 0048] Decode(GPU): 12.3ms | Preprocess: 1.0ms | YOLO(w8a16): 18.9ms | DINOv2: Skipped | Total: 32.7ms
2026-07-20 17:30:01.747 [DEBUG] [Frame 0049] Decode(GPU): 11.5ms | Preprocess: 1.2ms | YOLO(w8a16): 18.1ms | DINOv2: Skipped | Total: 31.6ms
2026-07-20 17:30:01.778 [DEBUG] [Frame 0050] Decode(GPU): 11.1ms | Preprocess: 1.1ms | YOLO(w8a16): 18.4ms | DINOv2: Skipped | Total: 31.2ms
2026-07-20 17:30:01.809 [DEBUG] [Frame 0051] Decode(GPU): 11.7ms | Preprocess: 1.5ms | YOLO(w8a16): 17.6ms | DINOv2: Skipped | Total: 31.3ms
2026-07-20 17:30:01.840 [DEBUG] [Frame 0052] Decode(GPU): 10.2ms | Preprocess: 1.1ms | YOLO(w8a16): 18.3ms | DINOv2: Skipped | Total: 30.4ms
2026-07-20 17:30:01.871 [DEBUG] [Frame 0053] Decode(GPU): 12.5ms | Preprocess: 1.3ms | YOLO(w8a16): 16.9ms | DINOv2: Skipped | Total: 31.6ms
2026-07-20 17:30:01.903 [DEBUG] [Frame 0054] Decode(GPU): 12.2ms | Preprocess: 1.1ms | YOLO(w8a16): 17.5ms | DINOv2: Skipped | Total: 31.5ms
2026-07-20 17:30:01.934 [DEBUG] [Frame 0055] Decode(GPU): 11.2ms | Preprocess: 1.2ms | YOLO(w8a16): 18.3ms | DINOv2: Skipped | Total: 31.3ms
2026-07-20 17:30:01.967 [DEBUG] [Frame 0056] Decode(GPU): 12.5ms | Preprocess: 1.2ms | YOLO(w8a16): 18.1ms | DINOv2: Skipped | Total: 32.7ms
2026-07-20 17:30:01.997 [DEBUG] [Frame 0057] Decode(GPU): 11.3ms | Preprocess: 1.2ms | YOLO(w8a16): 17.1ms | DINOv2: Skipped | Total: 30.1ms
2026-07-20 17:30:02.029 [DEBUG] [Frame 0058] Decode(GPU): 12.3ms | Preprocess: 1.2ms | YOLO(w8a16): 17.9ms | DINOv2: Skipped | Total: 31.9ms
2026-07-20 17:30:02.060 [DEBUG] [Frame 0059] Decode(GPU): 12.2ms | Preprocess: 1.2ms | YOLO(w8a16): 17.1ms | DINOv2: Skipped | Total: 31.1ms
2026-07-20 17:30:02.091 [DEBUG] [Frame 0060] Decode(GPU): 12.7ms | Preprocess: 1.1ms | YOLO(w8a16): 16.6ms | DINOv2: Skipped | Total: 30.9ms
2026-07-20 17:30:02.123 [DEBUG] [Frame 0061] Decode(GPU): 12.4ms | Preprocess: 1.0ms | YOLO(w8a16): 17.6ms | DINOv2: Skipped | Total: 31.7ms
2026-07-20 17:30:02.154 [DEBUG] [Frame 0062] Decode(GPU): 12.3ms | Preprocess: 1.1ms | YOLO(w8a16): 17.6ms | DINOv2: Skipped | Total: 31.8ms
2026-07-20 17:30:02.185 [DEBUG] [Frame 0063] Decode(GPU): 11.6ms | Preprocess: 1.3ms | YOLO(w8a16): 16.8ms | DINOv2: Skipped | Total: 30.5ms
2026-07-20 17:30:02.216 [DEBUG] [Frame 0064] Decode(GPU): 11.2ms | Preprocess: 1.3ms | YOLO(w8a16): 17.8ms | DINOv2: Skipped | Total: 31.1ms
2026-07-20 17:30:02.247 [DEBUG] [Frame 0065] Decode(GPU): 10.4ms | Preprocess: 1.4ms | YOLO(w8a16): 18.3ms | DINOv2: Skipped | Total: 30.9ms
2026-07-20 17:30:02.278 [DEBUG] [Frame 0066] Decode(GPU): 11.3ms | Preprocess: 1.4ms | YOLO(w8a16): 17.8ms | DINOv2: Skipped | Total: 31.3ms
2026-07-20 17:30:02.310 [DEBUG] [Frame 0067] Decode(GPU): 10.6ms | Preprocess: 1.3ms | YOLO(w8a16): 18.9ms | DINOv2: Skipped | Total: 31.4ms
2026-07-20 17:30:02.341 [DEBUG] [Frame 0068] Decode(GPU): 11.5ms | Preprocess: 1.2ms | YOLO(w8a16): 18.6ms | DINOv2: Skipped | Total: 31.9ms
2026-07-20 17:30:02.374 [DEBUG] [Frame 0069] Decode(GPU): 11.1ms | Preprocess: 1.4ms | YOLO(w8a16): 18.7ms | DINOv2: Skipped | Total: 32.2ms
2026-07-20 17:30:02.404 [DEBUG] [Frame 0070] Decode(GPU): 11.0ms | Preprocess: 1.0ms | YOLO(w8a16): 18.0ms | DINOv2: Skipped | Total: 30.8ms
2026-07-20 17:30:02.436 [DEBUG] [Frame 0071] Decode(GPU): 11.0ms | Preprocess: 1.4ms | YOLO(w8a16): 18.2ms | DINOv2: Skipped | Total: 31.4ms
2026-07-20 17:30:02.468 [DEBUG] [Frame 0072] Decode(GPU): 12.2ms | Preprocess: 1.3ms | YOLO(w8a16): 18.2ms | DINOv2: Skipped | Total: 32.6ms
2026-07-20 17:30:02.500 [DEBUG] [Frame 0073] Decode(GPU): 12.0ms | Preprocess: 1.5ms | YOLO(w8a16): 17.6ms | DINOv2: Skipped | Total: 32.0ms
2026-07-20 17:30:02.531 [DEBUG] [Frame 0074] Decode(GPU): 11.4ms | Preprocess: 1.1ms | YOLO(w8a16): 16.9ms | DINOv2: Skipped | Total: 30.2ms
2026-07-20 17:30:02.561 [DEBUG] [Frame 0075] Decode(GPU): 10.2ms | Preprocess: 1.4ms | YOLO(w8a16): 18.2ms | DINOv2: Skipped | Total: 30.7ms
2026-07-20 17:30:02.591 [DEBUG] [Frame 0076] Decode(GPU): 10.3ms | Preprocess: 1.5ms | YOLO(w8a16): 16.9ms | DINOv2: Skipped | Total: 29.6ms
2026-07-20 17:30:02.624 [DEBUG] [Frame 0077] Decode(GPU): 12.5ms | Preprocess: 1.3ms | YOLO(w8a16): 18.9ms | DINOv2: Skipped | Total: 33.6ms
2026-07-20 17:30:02.656 [DEBUG] [Frame 0078] Decode(GPU): 11.1ms | Preprocess: 1.0ms | YOLO(w8a16): 18.7ms | DINOv2: Skipped | Total: 31.8ms
2026-07-20 17:30:02.687 [DEBUG] [Frame 0079] Decode(GPU): 11.5ms | Preprocess: 1.3ms | YOLO(w8a16): 17.0ms | DINOv2: Skipped | Total: 30.6ms
2026-07-20 17:30:02.717 [DEBUG] [Frame 0080] Decode(GPU): 10.3ms | Preprocess: 1.4ms | YOLO(w8a16): 17.2ms | DINOv2: Skipped | Total: 29.8ms
2026-07-20 17:30:02.749 [DEBUG] [Frame 0081] Decode(GPU): 11.8ms | Preprocess: 1.1ms | YOLO(w8a16): 18.7ms | DINOv2: Skipped | Total: 32.5ms
2026-07-20 17:30:02.782 [DEBUG] [Frame 0082] Decode(GPU): 12.4ms | Preprocess: 1.0ms | YOLO(w8a16): 18.6ms | DINOv2: Skipped | Total: 32.6ms
2026-07-20 17:30:02.812 [DEBUG] [Frame 0083] Decode(GPU): 11.7ms | Preprocess: 1.3ms | YOLO(w8a16): 16.8ms | DINOv2: Skipped | Total: 30.4ms
2026-07-20 17:30:02.844 [DEBUG] [Frame 0084] Decode(GPU): 12.3ms | Preprocess: 1.1ms | YOLO(w8a16): 17.7ms | DINOv2: Skipped | Total: 32.0ms
2026-07-20 17:30:02.876 [DEBUG] [Frame 0085] Decode(GPU): 11.1ms | Preprocess: 1.5ms | YOLO(w8a16): 18.6ms | DINOv2: Skipped | Total: 31.7ms
2026-07-20 17:30:02.907 [DEBUG] [Frame 0086] Decode(GPU): 12.2ms | Preprocess: 1.0ms | YOLO(w8a16): 17.6ms | DINOv2: Skipped | Total: 31.6ms
2026-07-20 17:30:02.937 [DEBUG] [Frame 0087] Decode(GPU): 10.3ms | Preprocess: 1.2ms | YOLO(w8a16): 17.0ms | DINOv2: Skipped | Total: 29.5ms
2026-07-20 17:30:02.967 [DEBUG] [Frame 0088] Decode(GPU): 10.3ms | Preprocess: 1.2ms | YOLO(w8a16): 18.1ms | DINOv2: Skipped | Total: 30.3ms
2026-07-20 17:30:02.998 [DEBUG] [Frame 0089] Decode(GPU): 10.8ms | Preprocess: 1.1ms | YOLO(w8a16): 18.0ms | DINOv2: Skipped | Total: 30.8ms
2026-07-20 17:30:03.029 [DEBUG] [Frame 0090] Decode(GPU): 11.2ms | Preprocess: 1.2ms | YOLO(w8a16): 17.4ms | DINOv2: Skipped | Total: 30.7ms
2026-07-20 17:30:03.059 [DEBUG] [Frame 0091] Decode(GPU): 12.0ms | Preprocess: 1.3ms | YOLO(w8a16): 16.6ms | DINOv2: Skipped | Total: 30.5ms
2026-07-20 17:30:03.089 [DEBUG] [Frame 0092] Decode(GPU): 11.5ms | Preprocess: 1.4ms | YOLO(w8a16): 16.8ms | DINOv2: Skipped | Total: 30.1ms
2026-07-20 17:30:03.121 [DEBUG] [Frame 0093] Decode(GPU): 11.9ms | Preprocess: 1.1ms | YOLO(w8a16): 17.3ms | DINOv2: Skipped | Total: 31.3ms
2026-07-20 17:30:03.152 [DEBUG] [Frame 0094] Decode(GPU): 12.2ms | Preprocess: 1.1ms | YOLO(w8a16): 16.5ms | DINOv2: Skipped | Total: 30.8ms
2026-07-20 17:30:03.182 [DEBUG] [Frame 0095] Decode(GPU): 10.4ms | Preprocess: 1.2ms | YOLO(w8a16): 17.9ms | DINOv2: Skipped | Total: 30.2ms
2026-07-20 17:30:03.213 [DEBUG] [Frame 0096] Decode(GPU): 11.4ms | Preprocess: 1.3ms | YOLO(w8a16): 17.4ms | DINOv2: Skipped | Total: 30.9ms
2026-07-20 17:30:03.244 [DEBUG] [Frame 0097] Decode(GPU): 11.4ms | Preprocess: 1.3ms | YOLO(w8a16): 18.1ms | DINOv2: Skipped | Total: 31.5ms
2026-07-20 17:30:03.278 [DEBUG] [Frame 0098] Decode(GPU): 12.6ms | Preprocess: 1.2ms | YOLO(w8a16): 18.9ms | DINOv2: Skipped | Total: 33.5ms
2026-07-20 17:30:03.309 [DEBUG] [Frame 0099] Decode(GPU): 11.0ms | Preprocess: 1.4ms | YOLO(w8a16): 18.5ms | DINOv2: Skipped | Total: 31.8ms
2026-07-20 17:30:03.341 [DEBUG] [Frame 0100] Decode(GPU): 12.5ms | Preprocess: 1.0ms | YOLO(w8a16): 17.7ms | DINOv2: Skipped | Total: 32.0ms
2026-07-20 17:30:03.372 [DEBUG] [Frame 0101] Decode(GPU): 12.2ms | Preprocess: 1.4ms | YOLO(w8a16): 16.6ms | DINOv2: Skipped | Total: 30.9ms
2026-07-20 17:30:03.403 [DEBUG] [Frame 0102] Decode(GPU): 10.8ms | Preprocess: 1.4ms | YOLO(w8a16): 18.3ms | DINOv2: Skipped | Total: 31.1ms
2026-07-20 17:30:03.435 [DEBUG] [Frame 0103] Decode(GPU): 10.9ms | Preprocess: 1.3ms | YOLO(w8a16): 18.5ms | DINOv2: Skipped | Total: 31.5ms
2026-07-20 17:30:03.467 [DEBUG] [Frame 0104] Decode(GPU): 11.2ms | Preprocess: 1.2ms | YOLO(w8a16): 18.8ms | DINOv2: Skipped | Total: 31.8ms
2026-07-20 17:30:03.499 [DEBUG] [Frame 0105] Decode(GPU): 12.2ms | Preprocess: 1.3ms | YOLO(w8a16): 18.6ms | DINOv2: Skipped | Total: 32.8ms
2026-07-20 17:30:03.530 [DEBUG] [Frame 0106] Decode(GPU): 12.5ms | Preprocess: 1.0ms | YOLO(w8a16): 16.7ms | DINOv2: Skipped | Total: 31.1ms
2026-07-20 17:30:03.562 [DEBUG] [Frame 0107] Decode(GPU): 11.7ms | Preprocess: 1.1ms | YOLO(w8a16): 17.8ms | DINOv2: Skipped | Total: 31.6ms
2026-07-20 17:30:03.593 [DEBUG] [Frame 0108] Decode(GPU): 12.2ms | Preprocess: 1.3ms | YOLO(w8a16): 16.6ms | DINOv2: Skipped | Total: 30.5ms
2026-07-20 17:30:03.624 [DEBUG] [Frame 0109] Decode(GPU): 12.2ms | Preprocess: 1.1ms | YOLO(w8a16): 17.9ms | DINOv2: Skipped | Total: 31.8ms
2026-07-20 17:30:03.656 [DEBUG] [Frame 0110] Decode(GPU): 12.0ms | Preprocess: 1.2ms | YOLO(w8a16): 18.0ms | DINOv2: Skipped | Total: 31.8ms
2026-07-20 17:30:03.688 [DEBUG] [Frame 0111] Decode(GPU): 10.7ms | Preprocess: 1.4ms | YOLO(w8a16): 18.6ms | DINOv2: Skipped | Total: 31.7ms
2026-07-20 17:30:03.719 [DEBUG] [Frame 0112] Decode(GPU): 10.9ms | Preprocess: 1.2ms | YOLO(w8a16): 18.1ms | DINOv2: Skipped | Total: 30.9ms
2026-07-20 17:30:03.751 [DEBUG] [Frame 0113] Decode(GPU): 12.0ms | Preprocess: 1.2ms | YOLO(w8a16): 18.5ms | DINOv2: Skipped | Total: 32.3ms
2026-07-20 17:30:03.781 [DEBUG] [Frame 0114] Decode(GPU): 11.2ms | Preprocess: 1.2ms | YOLO(w8a16): 16.7ms | DINOv2: Skipped | Total: 30.0ms
2026-07-20 17:30:03.814 [DEBUG] [Frame 0115] Decode(GPU): 12.3ms | Preprocess: 1.1ms | YOLO(w8a16): 18.7ms | DINOv2: Skipped | Total: 33.1ms
2026-07-20 17:30:03.845 [DEBUG] [Frame 0116] Decode(GPU): 12.2ms | Preprocess: 1.1ms | YOLO(w8a16): 16.6ms | DINOv2: Skipped | Total: 30.5ms
2026-07-20 17:30:03.878 [DEBUG] [Frame 0117] Decode(GPU): 12.7ms | Preprocess: 1.1ms | YOLO(w8a16): 18.8ms | DINOv2: Skipped | Total: 33.2ms
2026-07-20 17:30:03.909 [DEBUG] [Frame 0118] Decode(GPU): 11.1ms | Preprocess: 1.4ms | YOLO(w8a16): 17.6ms | DINOv2: Skipped | Total: 30.7ms
2026-07-20 17:30:03.938 [DEBUG] [Frame 0119] Decode(GPU): 10.6ms | Preprocess: 1.3ms | YOLO(w8a16): 16.8ms | DINOv2: Skipped | Total: 29.6ms
2026-07-20 17:30:03.970 [DEBUG] [Frame 0120] Decode(GPU): 12.7ms | Preprocess: 1.4ms | YOLO(w8a16): 16.6ms | DINOv2: Skipped | Total: 31.5ms
2026-07-20 17:30:04.001 [DEBUG] [Frame 0121] Decode(GPU): 11.9ms | Preprocess: 1.1ms | YOLO(w8a16): 17.5ms | DINOv2: Skipped | Total: 31.5ms
2026-07-20 17:30:04.033 [DEBUG] [Frame 0122] Decode(GPU): 12.7ms | Preprocess: 1.2ms | YOLO(w8a16): 17.4ms | DINOv2: Skipped | Total: 31.8ms
2026-07-20 17:30:04.062 [DEBUG] [Frame 0123] Decode(GPU): 10.4ms | Preprocess: 1.2ms | YOLO(w8a16): 16.6ms | DINOv2: Skipped | Total: 28.8ms
2026-07-20 17:30:04.092 [DEBUG] [Frame 0124] Decode(GPU): 10.5ms | Preprocess: 1.2ms | YOLO(w8a16): 17.9ms | DINOv2: Skipped | Total: 30.3ms
2026-07-20 17:30:04.124 [DEBUG] [Frame 0125] Decode(GPU): 12.3ms | Preprocess: 1.4ms | YOLO(w8a16): 17.3ms | DINOv2: Skipped | Total: 31.7ms
2026-07-20 17:30:04.156 [DEBUG] [Frame 0126] Decode(GPU): 11.7ms | Preprocess: 1.2ms | YOLO(w8a16): 18.9ms | DINOv2: Skipped | Total: 32.7ms
2026-07-20 17:30:04.186 [DEBUG] [Frame 0127] Decode(GPU): 10.3ms | Preprocess: 1.4ms | YOLO(w8a16): 17.4ms | DINOv2: Skipped | Total: 29.7ms
2026-07-20 17:30:04.218 [DEBUG] [Frame 0128] Decode(GPU): 11.4ms | Preprocess: 1.4ms | YOLO(w8a16): 18.9ms | DINOv2: Skipped | Total: 32.3ms
2026-07-20 17:30:04.250 [DEBUG] [Frame 0129] Decode(GPU): 12.7ms | Preprocess: 1.3ms | YOLO(w8a16): 16.7ms | DINOv2: Skipped | Total: 31.3ms
2026-07-20 17:30:04.282 [DEBUG] [Frame 0130] Decode(GPU): 12.1ms | Preprocess: 1.4ms | YOLO(w8a16): 18.5ms | DINOv2: Skipped | Total: 32.5ms
2026-07-20 17:30:04.314 [DEBUG] [Frame 0131] Decode(GPU): 12.1ms | Preprocess: 1.2ms | YOLO(w8a16): 17.8ms | DINOv2: Skipped | Total: 32.1ms
2026-07-20 17:30:04.345 [DEBUG] [Frame 0132] Decode(GPU): 11.6ms | Preprocess: 1.3ms | YOLO(w8a16): 17.6ms | DINOv2: Skipped | Total: 31.2ms
