2026-07-20 18:30:00.001 [INFO] [System] COWdeploy Ultimate Pipelined Benchmark (DMA-BUF Zero-Copy)
2026-07-20 18:30:00.001 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 18:30:00.001 [INFO] [System] OS: Ubuntu 24.04.2 LTS aarch64
2026-07-20 18:30:00.001 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 18:30:00.001 [INFO] [Pipeline] Configuration: 
    - Architecture: 3-Stage Asynchronous Pipeline (Decode -> Detect -> Extract)
    - Zero-Copy: DMA-BUF (ION Memory) FD passing enabled
    - Detection Backend: TFLite (Hexagon DSP Delegate) [W8A8]
    - Feature Extractor Backend: TFLite (Hexagon DSP Delegate) [W8A8]
2026-07-20 18:30:00.056 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 18:30:00.071 [INFO] [Video] V4L2 Hardware Decoder initialized. DMA-BUF Export enabled.
2026-07-20 18:30:00.116 [INFO] [Accelerator] Loading Hexagon DSP drivers and TFLite delegates...
2026-07-20 18:30:00.236 [INFO] [Accelerator] TFLite Context loaded successfully to CDSP. DMA-BUF Import enabled.
2026-07-20 18:30:00.241 [INFO] [Pipeline] Starting multi-threaded pipeline processing loop...
2026-07-20 18:30:00.274 [DEBUG] [Pipeline-Sink] Frame 0000 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.0ms
2026-07-20 18:30:00.640 [DEBUG] [Pipeline-Sink] Frame 0011 ready | Decode[GPU_Thread]: 11.5ms | YOLO[DSP_Thread]: 8.2ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.9ms
2026-07-20 18:30:00.674 [DEBUG] [Pipeline-Sink] Frame 0012 ready | Decode[GPU_Thread]: 11.7ms | YOLO[DSP_Thread]: 9.0ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.9ms
2026-07-20 18:30:00.707 [DEBUG] [Pipeline-Sink] Frame 0013 ready | Decode[GPU_Thread]: 11.7ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.4ms
2026-07-20 18:30:00.740 [DEBUG] [Pipeline-Sink] Frame 0014 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.8ms
2026-07-20 18:30:00.774 [DEBUG] [Pipeline-Sink] Frame 0015 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.0ms
2026-07-20 18:30:00.807 [DEBUG] [Pipeline-Sink] Frame 0016 ready | Decode[GPU_Thread]: 10.8ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.3ms
2026-07-20 18:30:00.840 [DEBUG] [Pipeline-Sink] Frame 0017 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.0ms
2026-07-20 18:30:00.874 [DEBUG] [Pipeline-Sink] Frame 0018 ready | Decode[GPU_Thread]: 10.6ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.7ms
2026-07-20 18:30:00.907 [DEBUG] [Pipeline-Sink] Frame 0019 ready | Decode[GPU_Thread]: 11.6ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.2ms
2026-07-20 18:30:00.940 [DEBUG] [Pipeline-Sink] Frame 0020 ready | Decode[GPU_Thread]: 11.7ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.2ms
2026-07-20 18:30:00.974 [DEBUG] [Pipeline-Sink] Frame 0021 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.6ms
2026-07-20 18:30:01.007 [DEBUG] [Pipeline-Sink] Frame 0022 ready | Decode[GPU_Thread]: 10.6ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.1ms
2026-07-20 18:30:01.040 [DEBUG] [Pipeline-Sink] Frame 0023 ready | Decode[GPU_Thread]: 10.8ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.8ms
2026-07-20 18:30:01.074 [DEBUG] [Pipeline-Sink] Frame 0024 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 8.2ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.3ms
2026-07-20 18:30:01.107 [DEBUG] [Pipeline-Sink] Frame 0025 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.8ms
2026-07-20 18:30:01.140 [DEBUG] [Pipeline-Sink] Frame 0026 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.8ms
2026-07-20 18:30:01.174 [DEBUG] [Pipeline-Sink] Frame 0027 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.8ms
2026-07-20 18:30:01.207 [DEBUG] [Pipeline-Sink] Frame 0028 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.5ms
2026-07-20 18:30:01.240 [DEBUG] [Pipeline-Sink] Frame 0029 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.1ms
2026-07-20 18:30:01.274 [DEBUG] [Pipeline-Sink] Frame 0030 ready | Decode[GPU_Thread]: 10.5ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.3ms
2026-07-20 18:30:01.307 [DEBUG] [Pipeline-Sink] Frame 0031 ready | Decode[GPU_Thread]: 11.6ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.5ms
2026-07-20 18:30:01.340 [DEBUG] [Pipeline-Sink] Frame 0032 ready | Decode[GPU_Thread]: 11.6ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.3ms
2026-07-20 18:30:01.374 [DEBUG] [Pipeline-Sink] Frame 0033 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.1ms
2026-07-20 18:30:01.407 [DEBUG] [Pipeline-Sink] Frame 0034 ready | Decode[GPU_Thread]: 11.7ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.4ms
2026-07-20 18:30:01.440 [DEBUG] [Pipeline-Sink] Frame 0035 ready | Decode[GPU_Thread]: 10.8ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.9ms
2026-07-20 18:30:01.474 [DEBUG] [Pipeline-Sink] Frame 0036 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.2ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.5ms
2026-07-20 18:30:01.507 [DEBUG] [Pipeline-Sink] Frame 0037 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 9.0ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.1ms
2026-07-20 18:30:01.540 [DEBUG] [Pipeline-Sink] Frame 0038 ready | Decode[GPU_Thread]: 11.6ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.2ms
2026-07-20 18:30:01.574 [DEBUG] [Pipeline-Sink] Frame 0039 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.9ms
2026-07-20 18:30:01.607 [DEBUG] [Pipeline-Sink] Frame 0040 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.0ms
2026-07-20 18:30:01.640 [DEBUG] [Pipeline-Sink] Frame 0041 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.0ms
2026-07-20 18:30:01.674 [DEBUG] [Pipeline-Sink] Frame 0042 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.3ms
2026-07-20 18:30:01.707 [DEBUG] [Pipeline-Sink] Frame 0043 ready | Decode[GPU_Thread]: 11.5ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.5ms
2026-07-20 18:30:01.740 [DEBUG] [Pipeline-Sink] Frame 0044 ready | Decode[GPU_Thread]: 10.8ms | YOLO[DSP_Thread]: 9.0ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.9ms
2026-07-20 18:30:01.774 [DEBUG] [Pipeline-Sink] Frame 0045 ready | Decode[GPU_Thread]: 11.4ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.5ms
2026-07-20 18:30:01.807 [DEBUG] [Pipeline-Sink] Frame 0046 ready | Decode[GPU_Thread]: 11.7ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.4ms
2026-07-20 18:30:01.840 [DEBUG] [Pipeline-Sink] Frame 0047 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 9.0ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.1ms
2026-07-20 18:30:01.874 [DEBUG] [Pipeline-Sink] Frame 0048 ready | Decode[GPU_Thread]: 10.8ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.3ms
2026-07-20 18:30:01.907 [DEBUG] [Pipeline-Sink] Frame 0049 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.7ms
2026-07-20 18:30:01.940 [DEBUG] [Pipeline-Sink] Frame 0050 ready | Decode[GPU_Thread]: 11.6ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.2ms
2026-07-20 18:30:01.974 [DEBUG] [Pipeline-Sink] Frame 0051 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.8ms
2026-07-20 18:30:02.007 [DEBUG] [Pipeline-Sink] Frame 0052 ready | Decode[GPU_Thread]: 11.3ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.3ms
2026-07-20 18:30:02.040 [DEBUG] [Pipeline-Sink] Frame 0053 ready | Decode[GPU_Thread]: 11.6ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.6ms
2026-07-20 18:30:02.074 [DEBUG] [Pipeline-Sink] Frame 0054 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.0ms
2026-07-20 18:30:02.107 [DEBUG] [Pipeline-Sink] Frame 0055 ready | Decode[GPU_Thread]: 11.3ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.1ms
2026-07-20 18:30:02.140 [DEBUG] [Pipeline-Sink] Frame 0056 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.3ms
2026-07-20 18:30:02.174 [DEBUG] [Pipeline-Sink] Frame 0057 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.9ms
2026-07-20 18:30:02.207 [DEBUG] [Pipeline-Sink] Frame 0058 ready | Decode[GPU_Thread]: 11.4ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.3ms
2026-07-20 18:30:02.240 [DEBUG] [Pipeline-Sink] Frame 0059 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.3ms
2026-07-20 18:30:02.274 [DEBUG] [Pipeline-Sink] Frame 0060 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.1ms
2026-07-20 18:30:02.307 [DEBUG] [Pipeline-Sink] Frame 0061 ready | Decode[GPU_Thread]: 11.7ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.1ms
2026-07-20 18:30:02.340 [DEBUG] [Pipeline-Sink] Frame 0062 ready | Decode[GPU_Thread]: 10.5ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.4ms
2026-07-20 18:30:02.374 [DEBUG] [Pipeline-Sink] Frame 0063 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.3ms
2026-07-20 18:30:02.407 [DEBUG] [Pipeline-Sink] Frame 0064 ready | Decode[GPU_Thread]: 10.5ms | YOLO[DSP_Thread]: 9.0ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.7ms
2026-07-20 18:30:02.440 [DEBUG] [Pipeline-Sink] Frame 0065 ready | Decode[GPU_Thread]: 11.5ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.2ms
2026-07-20 18:30:02.474 [DEBUG] [Pipeline-Sink] Frame 0066 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.8ms
2026-07-20 18:30:02.507 [DEBUG] [Pipeline-Sink] Frame 0067 ready | Decode[GPU_Thread]: 11.3ms | YOLO[DSP_Thread]: 8.2ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.7ms
2026-07-20 18:30:02.540 [DEBUG] [Pipeline-Sink] Frame 0068 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 9.0ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.9ms
2026-07-20 18:30:02.574 [DEBUG] [Pipeline-Sink] Frame 0069 ready | Decode[GPU_Thread]: 11.6ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.4ms
2026-07-20 18:30:02.607 [DEBUG] [Pipeline-Sink] Frame 0070 ready | Decode[GPU_Thread]: 11.4ms | YOLO[DSP_Thread]: 8.2ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.9ms
2026-07-20 18:30:02.640 [DEBUG] [Pipeline-Sink] Frame 0071 ready | Decode[GPU_Thread]: 11.5ms | YOLO[DSP_Thread]: 9.0ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.6ms
2026-07-20 18:30:02.674 [DEBUG] [Pipeline-Sink] Frame 0072 ready | Decode[GPU_Thread]: 11.3ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.9ms
2026-07-20 18:30:02.707 [DEBUG] [Pipeline-Sink] Frame 0073 ready | Decode[GPU_Thread]: 11.5ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.5ms
2026-07-20 18:30:02.740 [DEBUG] [Pipeline-Sink] Frame 0074 ready | Decode[GPU_Thread]: 11.5ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.2ms
2026-07-20 18:30:02.774 [DEBUG] [Pipeline-Sink] Frame 0075 ready | Decode[GPU_Thread]: 10.8ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.4ms
2026-07-20 18:30:02.807 [DEBUG] [Pipeline-Sink] Frame 0076 ready | Decode[GPU_Thread]: 11.4ms | YOLO[DSP_Thread]: 8.2ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.8ms
2026-07-20 18:30:02.840 [DEBUG] [Pipeline-Sink] Frame 0077 ready | Decode[GPU_Thread]: 11.5ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.3ms
2026-07-20 18:30:02.874 [DEBUG] [Pipeline-Sink] Frame 0078 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.5ms
2026-07-20 18:30:02.907 [DEBUG] [Pipeline-Sink] Frame 0079 ready | Decode[GPU_Thread]: 11.4ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.9ms
2026-07-20 18:30:02.940 [DEBUG] [Pipeline-Sink] Frame 0080 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.6ms
2026-07-20 18:30:02.974 [DEBUG] [Pipeline-Sink] Frame 0081 ready | Decode[GPU_Thread]: 10.5ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.2ms
2026-07-20 18:30:03.007 [DEBUG] [Pipeline-Sink] Frame 0082 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.2ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.4ms
2026-07-20 18:30:03.040 [DEBUG] [Pipeline-Sink] Frame 0083 ready | Decode[GPU_Thread]: 11.7ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.5ms
2026-07-20 18:30:03.074 [DEBUG] [Pipeline-Sink] Frame 0084 ready | Decode[GPU_Thread]: 11.4ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.6ms
2026-07-20 18:30:03.107 [DEBUG] [Pipeline-Sink] Frame 0085 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.7ms
2026-07-20 18:30:03.140 [DEBUG] [Pipeline-Sink] Frame 0086 ready | Decode[GPU_Thread]: 11.5ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.2ms
2026-07-20 18:30:03.174 [DEBUG] [Pipeline-Sink] Frame 0087 ready | Decode[GPU_Thread]: 11.3ms | YOLO[DSP_Thread]: 8.2ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.7ms
2026-07-20 18:30:03.207 [DEBUG] [Pipeline-Sink] Frame 0088 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 19.9ms
2026-07-20 18:30:03.240 [DEBUG] [Pipeline-Sink] Frame 0089 ready | Decode[GPU_Thread]: 11.3ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.4ms
