2026-07-20 17:30:00.001 [INFO] [System] COWdeploy Edge Benchmarking Suite (Precision: FP16)
2026-07-20 17:30:00.015 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 17:30:00.030 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 17:30:00.055 [INFO] [Pipeline] Configuration: 
    - Detection Backend: QNN (Hexagon DSP) - yolov8n-seg_fp16.bin
    - Feature Extractor Backend: QNN (Hexagon DSP) - dinov2_vits14_fp16.bin
2026-07-20 17:30:00.110 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 17:30:00.120 [INFO] [QNN] Loading libQnnHtp.so (Hexagon Tensor Processor)...
2026-07-20 17:30:00.165 [INFO] [QNN] Loading context binary yolov8n-seg_fp16.bin to CDSP...
2026-07-20 17:30:00.175 [INFO] [QNN] Model loaded. Optimized for FP16.
2026-07-20 17:30:00.180 [INFO] [Pipeline] Starting main video processing loop...
2026-07-20 17:30:00.218 [DEBUG] [Frame 0000] Decode(GPU): 11.2ms | Preprocess: 1.1ms | YOLO(fp16): 25.6ms | DINOv2: Skipped | Total: 38.4ms
2026-07-20 17:30:02.193 [DEBUG] [Frame 0051] Decode(GPU): 10.5ms | Preprocess: 1.2ms | YOLO(fp16): 24.6ms | DINOv2: Skipped | Total: 37.1ms
2026-07-20 17:30:02.233 [DEBUG] [Frame 0052] Decode(GPU): 11.6ms | Preprocess: 1.3ms | YOLO(fp16): 26.0ms | DINOv2: Skipped | Total: 39.6ms
2026-07-20 17:30:02.272 [DEBUG] [Frame 0053] Decode(GPU): 11.3ms | Preprocess: 1.5ms | YOLO(fp16): 25.4ms | DINOv2: Skipped | Total: 38.7ms
2026-07-20 17:30:02.309 [DEBUG] [Frame 0054] Decode(GPU): 11.0ms | Preprocess: 1.1ms | YOLO(fp16): 25.1ms | DINOv2: Skipped | Total: 37.7ms
2026-07-20 17:30:02.348 [DEBUG] [Frame 0055] Decode(GPU): 11.0ms | Preprocess: 1.1ms | YOLO(fp16): 25.3ms | DINOv2: Skipped | Total: 38.1ms
2026-07-20 17:30:02.386 [DEBUG] [Frame 0056] Decode(GPU): 10.6ms | Preprocess: 1.1ms | YOLO(fp16): 26.0ms | DINOv2: Skipped | Total: 38.4ms
2026-07-20 17:30:02.424 [DEBUG] [Frame 0057] Decode(GPU): 12.0ms | Preprocess: 1.4ms | YOLO(fp16): 24.4ms | DINOv2: Skipped | Total: 38.3ms
2026-07-20 17:30:02.462 [DEBUG] [Frame 0058] Decode(GPU): 10.3ms | Preprocess: 1.4ms | YOLO(fp16): 25.4ms | DINOv2: Skipped | Total: 38.0ms
2026-07-20 17:30:02.500 [DEBUG] [Frame 0059] Decode(GPU): 11.4ms | Preprocess: 1.4ms | YOLO(fp16): 24.4ms | DINOv2: Skipped | Total: 38.0ms
2026-07-20 17:30:02.538 [DEBUG] [Frame 0060] Decode(GPU): 10.2ms | Preprocess: 1.5ms | YOLO(fp16): 25.9ms | DINOv2: Skipped | Total: 38.2ms
2026-07-20 17:30:02.577 [DEBUG] [Frame 0061] Decode(GPU): 10.5ms | Preprocess: 1.4ms | YOLO(fp16): 25.6ms | DINOv2: Skipped | Total: 38.2ms
2026-07-20 17:30:02.615 [DEBUG] [Frame 0062] Decode(GPU): 11.0ms | Preprocess: 1.3ms | YOLO(fp16): 25.2ms | DINOv2: Skipped | Total: 38.2ms
2026-07-20 17:30:02.652 [DEBUG] [Frame 0063] Decode(GPU): 10.5ms | Preprocess: 1.2ms | YOLO(fp16): 24.7ms | DINOv2: Skipped | Total: 37.3ms
2026-07-20 17:30:02.691 [DEBUG] [Frame 0064] Decode(GPU): 11.6ms | Preprocess: 1.5ms | YOLO(fp16): 25.4ms | DINOv2: Skipped | Total: 39.3ms
2026-07-20 17:30:02.729 [DEBUG] [Frame 0065] Decode(GPU): 11.6ms | Preprocess: 1.2ms | YOLO(fp16): 24.4ms | DINOv2: Skipped | Total: 37.8ms
2026-07-20 17:30:02.768 [DEBUG] [Frame 0066] Decode(GPU): 12.0ms | Preprocess: 1.1ms | YOLO(fp16): 24.4ms | DINOv2: Skipped | Total: 38.4ms
2026-07-20 17:30:02.806 [DEBUG] [Frame 0067] Decode(GPU): 10.7ms | Preprocess: 1.2ms | YOLO(fp16): 25.1ms | DINOv2: Skipped | Total: 37.9ms
2026-07-20 17:30:02.845 [DEBUG] [Frame 0068] Decode(GPU): 12.4ms | Preprocess: 1.5ms | YOLO(fp16): 25.1ms | DINOv2: Skipped | Total: 39.8ms
2026-07-20 17:30:02.885 [DEBUG] [Frame 0069] Decode(GPU): 12.5ms | Preprocess: 1.1ms | YOLO(fp16): 25.4ms | DINOv2: Skipped | Total: 39.8ms
2026-07-20 17:30:02.926 [DEBUG] [Frame 0070] Decode(GPU): 12.1ms | Preprocess: 1.4ms | YOLO(fp16): 26.4ms | DINOv2: Skipped | Total: 40.5ms
2026-07-20 17:30:02.966 [DEBUG] [Frame 0071] Decode(GPU): 11.2ms | Preprocess: 1.4ms | YOLO(fp16): 26.5ms | DINOv2: Skipped | Total: 40.0ms
2026-07-20 17:30:03.003 [DEBUG] [Frame 0072] Decode(GPU): 10.5ms | Preprocess: 1.0ms | YOLO(fp16): 25.6ms | DINOv2: Skipped | Total: 37.7ms
2026-07-20 17:30:03.042 [DEBUG] [Frame 0073] Decode(GPU): 12.6ms | Preprocess: 1.5ms | YOLO(fp16): 24.5ms | DINOv2: Skipped | Total: 39.1ms
2026-07-20 17:30:03.080 [DEBUG] [Frame 0074] Decode(GPU): 10.3ms | Preprocess: 1.4ms | YOLO(fp16): 24.7ms | DINOv2: Skipped | Total: 37.1ms
2026-07-20 17:30:03.118 [DEBUG] [Frame 0075] Decode(GPU): 11.7ms | Preprocess: 1.0ms | YOLO(fp16): 24.9ms | DINOv2: Skipped | Total: 38.5ms
2026-07-20 17:30:03.156 [DEBUG] [Frame 0076] Decode(GPU): 10.3ms | Preprocess: 1.3ms | YOLO(fp16): 25.6ms | DINOv2: Skipped | Total: 38.1ms
2026-07-20 17:30:03.194 [DEBUG] [Frame 0077] Decode(GPU): 11.2ms | Preprocess: 1.3ms | YOLO(fp16): 24.4ms | DINOv2: Skipped | Total: 37.5ms
2026-07-20 17:30:03.232 [DEBUG] [Frame 0078] Decode(GPU): 11.1ms | Preprocess: 1.2ms | YOLO(fp16): 25.4ms | DINOv2: Skipped | Total: 38.7ms
2026-07-20 17:30:03.271 [DEBUG] [Frame 0079] Decode(GPU): 11.8ms | Preprocess: 1.3ms | YOLO(fp16): 24.8ms | DINOv2: Skipped | Total: 38.7ms
2026-07-20 17:30:03.311 [DEBUG] [Frame 0080] Decode(GPU): 11.6ms | Preprocess: 1.4ms | YOLO(fp16): 26.4ms | DINOv2: Skipped | Total: 40.3ms
2026-07-20 17:30:03.353 [DEBUG] [Frame 0081] Decode(GPU): 12.7ms | Preprocess: 1.4ms | YOLO(fp16): 26.7ms | DINOv2: Skipped | Total: 41.3ms
2026-07-20 17:30:03.391 [DEBUG] [Frame 0082] Decode(GPU): 10.7ms | Preprocess: 1.2ms | YOLO(fp16): 25.5ms | DINOv2: Skipped | Total: 38.1ms
2026-07-20 17:30:03.430 [DEBUG] [Frame 0083] Decode(GPU): 11.9ms | Preprocess: 1.3ms | YOLO(fp16): 25.6ms | DINOv2: Skipped | Total: 39.3ms
2026-07-20 17:30:03.471 [DEBUG] [Frame 0084] Decode(GPU): 12.6ms | Preprocess: 1.4ms | YOLO(fp16): 26.2ms | DINOv2: Skipped | Total: 41.1ms
2026-07-20 17:30:03.511 [DEBUG] [Frame 0085] Decode(GPU): 12.3ms | Preprocess: 1.5ms | YOLO(fp16): 25.4ms | DINOv2: Skipped | Total: 39.8ms
2026-07-20 17:30:03.550 [DEBUG] [Frame 0086] Decode(GPU): 12.6ms | Preprocess: 1.1ms | YOLO(fp16): 25.1ms | DINOv2: Skipped | Total: 39.3ms
2026-07-20 17:30:03.587 [DEBUG] [Frame 0087] Decode(GPU): 10.5ms | Preprocess: 1.0ms | YOLO(fp16): 25.1ms | DINOv2: Skipped | Total: 37.4ms
2026-07-20 17:30:03.627 [DEBUG] [Frame 0088] Decode(GPU): 12.2ms | Preprocess: 1.2ms | YOLO(fp16): 25.8ms | DINOv2: Skipped | Total: 39.8ms
2026-07-20 17:30:03.665 [DEBUG] [Frame 0089] Decode(GPU): 11.7ms | Preprocess: 1.2ms | YOLO(fp16): 24.3ms | DINOv2: Skipped | Total: 37.9ms
2026-07-20 17:30:03.704 [DEBUG] [Frame 0090] Decode(GPU): 10.8ms | Preprocess: 1.5ms | YOLO(fp16): 25.3ms | DINOv2: Skipped | Total: 38.3ms
2026-07-20 17:30:03.744 [DEBUG] [Frame 0091] Decode(GPU): 11.6ms | Preprocess: 1.4ms | YOLO(fp16): 26.6ms | DINOv2: Skipped | Total: 40.4ms
2026-07-20 17:30:03.781 [DEBUG] [Frame 0092] Decode(GPU): 10.7ms | Preprocess: 1.1ms | YOLO(fp16): 25.0ms | DINOv2: Skipped | Total: 37.4ms
2026-07-20 17:30:03.822 [DEBUG] [Frame 0093] Decode(GPU): 12.4ms | Preprocess: 1.0ms | YOLO(fp16): 26.1ms | DINOv2: Skipped | Total: 40.4ms
2026-07-20 17:30:03.859 [DEBUG] [Frame 0094] Decode(GPU): 11.0ms | Preprocess: 1.1ms | YOLO(fp16): 24.7ms | DINOv2: Skipped | Total: 37.4ms
2026-07-20 17:30:03.897 [DEBUG] [Frame 0095] Decode(GPU): 11.0ms | Preprocess: 1.0ms | YOLO(fp16): 25.7ms | DINOv2: Skipped | Total: 38.2ms
2026-07-20 17:30:03.938 [DEBUG] [Frame 0096] Decode(GPU): 11.9ms | Preprocess: 1.4ms | YOLO(fp16): 26.3ms | DINOv2: Skipped | Total: 40.5ms
2026-07-20 17:30:03.977 [DEBUG] [Frame 0097] Decode(GPU): 11.4ms | Preprocess: 1.3ms | YOLO(fp16): 26.0ms | DINOv2: Skipped | Total: 39.2ms
2026-07-20 17:30:04.016 [DEBUG] [Frame 0098] Decode(GPU): 12.1ms | Preprocess: 1.2ms | YOLO(fp16): 25.6ms | DINOv2: Skipped | Total: 39.4ms
2026-07-20 17:30:04.054 [DEBUG] [Frame 0099] Decode(GPU): 11.2ms | Preprocess: 1.2ms | YOLO(fp16): 24.5ms | DINOv2: Skipped | Total: 37.6ms
2026-07-20 17:30:04.094 [DEBUG] [Frame 0100] Decode(GPU): 12.2ms | Preprocess: 1.2ms | YOLO(fp16): 26.0ms | DINOv2: Skipped | Total: 40.3ms
2026-07-20 17:30:04.135 [DEBUG] [Frame 0101] Decode(GPU): 11.8ms | Preprocess: 1.3ms | YOLO(fp16): 26.7ms | DINOv2: Skipped | Total: 40.3ms
2026-07-20 17:30:04.172 [DEBUG] [Frame 0102] Decode(GPU): 10.8ms | Preprocess: 1.1ms | YOLO(fp16): 24.4ms | DINOv2: Skipped | Total: 37.2ms
2026-07-20 17:30:04.210 [DEBUG] [Frame 0103] Decode(GPU): 11.4ms | Preprocess: 1.0ms | YOLO(fp16): 24.7ms | DINOv2: Skipped | Total: 37.9ms
2026-07-20 17:30:04.251 [DEBUG] [Frame 0104] Decode(GPU): 12.4ms | Preprocess: 1.5ms | YOLO(fp16): 26.5ms | DINOv2: Skipped | Total: 41.3ms
2026-07-20 17:30:04.291 [DEBUG] [Frame 0105] Decode(GPU): 11.2ms | Preprocess: 1.5ms | YOLO(fp16): 26.5ms | DINOv2: Skipped | Total: 39.7ms
2026-07-20 17:30:04.331 [DEBUG] [Frame 0106] Decode(GPU): 11.3ms | Preprocess: 1.3ms | YOLO(fp16): 26.7ms | DINOv2: Skipped | Total: 40.2ms
2026-07-20 17:30:04.371 [DEBUG] [Frame 0107] Decode(GPU): 12.6ms | Preprocess: 1.3ms | YOLO(fp16): 26.0ms | DINOv2: Skipped | Total: 40.5ms
2026-07-20 17:30:04.409 [DEBUG] [Frame 0108] Decode(GPU): 10.5ms | Preprocess: 1.3ms | YOLO(fp16): 25.3ms | DINOv2: Skipped | Total: 37.5ms
2026-07-20 17:30:04.448 [DEBUG] [Frame 0109] Decode(GPU): 10.5ms | Preprocess: 1.5ms | YOLO(fp16): 26.2ms | DINOv2: Skipped | Total: 38.9ms
2026-07-20 17:30:04.488 [DEBUG] [Frame 0110] Decode(GPU): 12.2ms | Preprocess: 1.5ms | YOLO(fp16): 26.4ms | DINOv2: Skipped | Total: 40.6ms
2026-07-20 17:30:04.528 [DEBUG] [Frame 0111] Decode(GPU): 10.9ms | Preprocess: 1.4ms | YOLO(fp16): 26.2ms | DINOv2: Skipped | Total: 39.1ms
2026-07-20 17:30:04.565 [DEBUG] [Frame 0112] Decode(GPU): 10.6ms | Preprocess: 1.4ms | YOLO(fp16): 24.3ms | DINOv2: Skipped | Total: 37.0ms
2026-07-20 17:30:04.605 [DEBUG] [Frame 0113] Decode(GPU): 12.1ms | Preprocess: 1.3ms | YOLO(fp16): 26.6ms | DINOv2: Skipped | Total: 40.5ms
2026-07-20 17:30:04.644 [DEBUG] [Frame 0114] Decode(GPU): 12.0ms | Preprocess: 1.0ms | YOLO(fp16): 25.3ms | DINOv2: Skipped | Total: 39.2ms
2026-07-20 17:30:04.681 [DEBUG] [Frame 0115] Decode(GPU): 10.3ms | Preprocess: 1.0ms | YOLO(fp16): 25.2ms | DINOv2: Skipped | Total: 37.1ms
2026-07-20 17:30:04.721 [DEBUG] [Frame 0116] Decode(GPU): 11.1ms | Preprocess: 1.0ms | YOLO(fp16): 26.6ms | DINOv2: Skipped | Total: 39.4ms
2026-07-20 17:30:04.758 [DEBUG] [Frame 0117] Decode(GPU): 10.5ms | Preprocess: 1.4ms | YOLO(fp16): 24.7ms | DINOv2: Skipped | Total: 37.1ms
2026-07-20 17:30:04.796 [DEBUG] [Frame 0118] Decode(GPU): 11.9ms | Preprocess: 1.4ms | YOLO(fp16): 24.3ms | DINOv2: Skipped | Total: 38.4ms
2026-07-20 17:30:04.834 [DEBUG] [Frame 0119] Decode(GPU): 11.1ms | Preprocess: 1.0ms | YOLO(fp16): 24.4ms | DINOv2: Skipped | Total: 37.3ms
2026-07-20 17:30:04.874 [DEBUG] [Frame 0120] Decode(GPU): 12.4ms | Preprocess: 1.4ms | YOLO(fp16): 25.8ms | DINOv2: Skipped | Total: 40.4ms
2026-07-20 17:30:04.911 [DEBUG] [Frame 0121] Decode(GPU): 10.3ms | Preprocess: 1.2ms | YOLO(fp16): 25.1ms | DINOv2: Skipped | Total: 37.3ms
2026-07-20 17:30:04.952 [DEBUG] [Frame 0122] Decode(GPU): 11.9ms | Preprocess: 1.1ms | YOLO(fp16): 26.6ms | DINOv2: Skipped | Total: 40.4ms
2026-07-20 17:30:04.989 [DEBUG] [Frame 0123] Decode(GPU): 10.3ms | Preprocess: 1.4ms | YOLO(fp16): 24.6ms | DINOv2: Skipped | Total: 37.1ms
2026-07-20 17:30:05.027 [DEBUG] [Frame 0124] Decode(GPU): 11.1ms | Preprocess: 1.0ms | YOLO(fp16): 25.4ms | DINOv2: Skipped | Total: 38.2ms
2026-07-20 17:30:05.067 [DEBUG] [Frame 0125] Decode(GPU): 12.2ms | Preprocess: 1.0ms | YOLO(fp16): 26.1ms | DINOv2: Skipped | Total: 40.0ms
2026-07-20 17:30:05.105 [DEBUG] [Frame 0126] Decode(GPU): 11.5ms | Preprocess: 1.4ms | YOLO(fp16): 24.3ms | DINOv2: Skipped | Total: 38.2ms
2026-07-20 17:30:05.145 [DEBUG] [Frame 0127] Decode(GPU): 12.3ms | Preprocess: 1.1ms | YOLO(fp16): 25.9ms | DINOv2: Skipped | Total: 39.9ms
2026-07-20 17:30:05.185 [DEBUG] [Frame 0128] Decode(GPU): 11.7ms | Preprocess: 1.0ms | YOLO(fp16): 26.2ms | DINOv2: Skipped | Total: 39.7ms
2026-07-20 17:30:05.222 [DEBUG] [Frame 0129] Decode(GPU): 10.8ms | Preprocess: 1.4ms | YOLO(fp16): 24.2ms | DINOv2: Skipped | Total: 37.4ms
2026-07-20 17:30:05.262 [DEBUG] [Frame 0130] Decode(GPU): 12.3ms | Preprocess: 1.1ms | YOLO(fp16): 25.5ms | DINOv2: Skipped | Total: 39.9ms
2026-07-20 17:30:05.301 [DEBUG] [Frame 0131] Decode(GPU): 10.9ms | Preprocess: 1.3ms | YOLO(fp16): 25.6ms | DINOv2: Skipped | Total: 38.7ms
2026-07-20 17:30:05.339 [DEBUG] [Frame 0132] Decode(GPU): 10.8ms | Preprocess: 1.2ms | YOLO(fp16): 25.7ms | DINOv2: Skipped | Total: 38.4ms
2026-07-20 17:30:05.378 [DEBUG] [Frame 0133] Decode(GPU): 10.4ms | Preprocess: 1.3ms | YOLO(fp16): 26.3ms | DINOv2: Skipped | Total: 38.9ms
2026-07-20 17:30:05.419 [DEBUG] [Frame 0134] Decode(GPU): 12.3ms | Preprocess: 1.4ms | YOLO(fp16): 26.3ms | DINOv2: Skipped | Total: 40.6ms
