2026-07-20 18:14:37.817 [INFO] [System] COWdeploy Edge Benchmarking Suite v4.1 (Radxa CM5 / RK3588)
2026-07-20 18:14:37.817 [INFO] [System] Hardware: Radxa CM5 (Rockchip RK3588 - 6 TOPS NPU)
2026-07-20 18:14:37.817 [INFO] [System] OS: Ubuntu 22.04 LTS aarch64 (Radxa OS)
2026-07-20 18:14:37.817 [INFO] [Memory] Total RAM: 8.0 GB | Available: 6.8 GB
2026-07-20 18:14:37.817 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | Target FPS: 25.0 | Frames: 1800 (72s)
2026-07-20 18:14:37.817 [INFO] [Pipeline] Configuration: 
    - RKNN Toolkit Version: 2.0.0
    - Video Decode: MPP (Media Process Platform)
    - Preprocess: RGA (Raster Graphic Acceleration) Hardware Resizer
    - Detection Backend: rknn_api (NPU INT8) - yolov8n-seg.rknn
    - Feature Extractor Backend: rknn_api (NPU INT8) - dinov2_vits14.rknn
    - Memory Architecture: dma_buf (Zero-Copy between MPP -> RGA -> RKNN)
2026-07-20 18:14:37.817 [INFO] [RKNN] Loading model yolov8n-seg.rknn...
2026-07-20 18:14:37.918 [INFO] [RKNN] Loaded successfully. Input: [1, 640, 640, 3]. Precision: INT8. Target: RK3588 NPU Core 0.
2026-07-20 18:14:37.918 [INFO] [RKNN] Loading model dinov2_vits14.rknn...
2026-07-20 18:14:38.019 [INFO] [RKNN] Loaded successfully. Input: [1, 224, 224, 3]. Precision: INT8. Target: RK3588 NPU Core 1 & 2.
2026-07-20 18:14:38.019 [INFO] [Pipeline] Starting asynchronous RKNN C++ pipeline...
2026-07-20 18:14:38.019 [DEBUG] [Frame 0000] Decode(MPP): 7.9ms | Resize(RGA): 3.3ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.1ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0016] Decode(MPP): 8.1ms | Resize(RGA): 2.5ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.2ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0017] Decode(MPP): 7.6ms | Resize(RGA): 2.5ms | YOLO(RKNN): 17.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.1ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0018] Decode(MPP): 7.6ms | Resize(RGA): 2.8ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.8ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0019] Decode(MPP): 7.5ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.2ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0020] Decode(MPP): 7.9ms | Resize(RGA): 2.9ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.6ms
2026-07-20 18:14:38.019 [DEBUG] [Frame 0021] Decode(MPP): 8.5ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.2ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.6ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0022] Decode(MPP): 8.1ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.8ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.6ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0023] Decode(MPP): 7.6ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.3ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0024] Decode(MPP): 7.8ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.4ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0025] Decode(MPP): 7.7ms | Resize(RGA): 2.7ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.2ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0026] Decode(MPP): 7.6ms | Resize(RGA): 3.5ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.9ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0027] Decode(MPP): 8.2ms | Resize(RGA): 2.8ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.7ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0028] Decode(MPP): 8.1ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.0ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.3ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0029] Decode(MPP): 8.1ms | Resize(RGA): 2.5ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.2ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0030] Decode(MPP): 8.4ms | Resize(RGA): 2.6ms | YOLO(RKNN): 18.0ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.6ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0031] Decode(MPP): 7.7ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.4ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0032] Decode(MPP): 7.6ms | Resize(RGA): 3.5ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.2ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0033] Decode(MPP): 8.2ms | Resize(RGA): 2.7ms | YOLO(RKNN): 18.8ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.5ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0034] Decode(MPP): 7.6ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.2ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.0ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0035] Decode(MPP): 7.9ms | Resize(RGA): 2.8ms | YOLO(RKNN): 17.5ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.3ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0036] Decode(MPP): 7.6ms | Resize(RGA): 2.9ms | YOLO(RKNN): 18.8ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.7ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0037] Decode(MPP): 8.0ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.0ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.8ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0038] Decode(MPP): 7.7ms | Resize(RGA): 2.7ms | YOLO(RKNN): 18.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.6ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0039] Decode(MPP): 8.4ms | Resize(RGA): 3.0ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.9ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0040] Decode(MPP): 8.2ms | Resize(RGA): 3.2ms | YOLO(RKNN): 17.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.8ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0041] Decode(MPP): 7.6ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.1ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.2ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0042] Decode(MPP): 7.5ms | Resize(RGA): 3.5ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.2ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0043] Decode(MPP): 7.9ms | Resize(RGA): 3.0ms | YOLO(RKNN): 17.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.6ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0044] Decode(MPP): 7.7ms | Resize(RGA): 2.6ms | YOLO(RKNN): 19.0ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.6ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0045] Decode(MPP): 7.5ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.3ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0046] Decode(MPP): 7.8ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.0ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0047] Decode(MPP): 8.2ms | Resize(RGA): 2.6ms | YOLO(RKNN): 18.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.5ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0048] Decode(MPP): 8.1ms | Resize(RGA): 2.5ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.9ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0049] Decode(MPP): 7.6ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.8ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0050] Decode(MPP): 7.6ms | Resize(RGA): 3.2ms | YOLO(RKNN): 18.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.1ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0051] Decode(MPP): 7.6ms | Resize(RGA): 3.0ms | YOLO(RKNN): 19.0ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.0ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0052] Decode(MPP): 7.9ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.7ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0053] Decode(MPP): 8.0ms | Resize(RGA): 3.0ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.8ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0054] Decode(MPP): 8.1ms | Resize(RGA): 2.7ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.3ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0055] Decode(MPP): 8.1ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.5ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0056] Decode(MPP): 8.4ms | Resize(RGA): 2.7ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.6ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0057] Decode(MPP): 8.1ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.1ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.4ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0058] Decode(MPP): 7.6ms | Resize(RGA): 2.9ms | YOLO(RKNN): 18.0ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.9ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0059] Decode(MPP): 8.4ms | Resize(RGA): 2.9ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.7ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0060] Decode(MPP): 8.3ms | Resize(RGA): 2.7ms | YOLO(RKNN): 17.5ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.2ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0061] Decode(MPP): 8.1ms | Resize(RGA): 2.9ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.6ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0062] Decode(MPP): 8.2ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.5ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0063] Decode(MPP): 7.7ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.3ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.7ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0064] Decode(MPP): 7.9ms | Resize(RGA): 3.2ms | YOLO(RKNN): 19.0ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.2ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0065] Decode(MPP): 8.5ms | Resize(RGA): 3.2ms | YOLO(RKNN): 18.8ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.0ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0066] Decode(MPP): 7.9ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.1ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.9ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0067] Decode(MPP): 8.0ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.8ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0068] Decode(MPP): 8.5ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.8ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0069] Decode(MPP): 8.1ms | Resize(RGA): 3.2ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.1ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0070] Decode(MPP): 8.3ms | Resize(RGA): 2.5ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.3ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0071] Decode(MPP): 7.9ms | Resize(RGA): 3.2ms | YOLO(RKNN): 18.2ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.4ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0072] Decode(MPP): 8.4ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.1ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.5ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0073] Decode(MPP): 7.5ms | Resize(RGA): 3.0ms | YOLO(RKNN): 18.2ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.2ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0074] Decode(MPP): 7.9ms | Resize(RGA): 3.2ms | YOLO(RKNN): 18.3ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.5ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0075] Decode(MPP): 7.8ms | Resize(RGA): 3.4ms | YOLO(RKNN): 17.5ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.0ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0076] Decode(MPP): 7.6ms | Resize(RGA): 3.0ms | YOLO(RKNN): 18.8ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.8ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0077] Decode(MPP): 7.6ms | Resize(RGA): 3.5ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.1ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0078] Decode(MPP): 8.5ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.2ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0079] Decode(MPP): 8.1ms | Resize(RGA): 2.8ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.7ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0080] Decode(MPP): 8.2ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.9ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0081] Decode(MPP): 7.9ms | Resize(RGA): 3.2ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.8ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0082] Decode(MPP): 7.7ms | Resize(RGA): 3.2ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.0ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0083] Decode(MPP): 8.0ms | Resize(RGA): 3.5ms | YOLO(RKNN): 18.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.4ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0084] Decode(MPP): 8.0ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.4ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0085] Decode(MPP): 7.6ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.3ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0086] Decode(MPP): 7.7ms | Resize(RGA): 3.2ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.9ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0087] Decode(MPP): 8.3ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.5ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0088] Decode(MPP): 7.7ms | Resize(RGA): 3.5ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.1ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0089] Decode(MPP): 8.2ms | Resize(RGA): 2.9ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.8ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0090] Decode(MPP): 8.0ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.4ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0091] Decode(MPP): 7.8ms | Resize(RGA): 2.6ms | YOLO(RKNN): 18.8ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.4ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0092] Decode(MPP): 8.5ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.6ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0093] Decode(MPP): 8.2ms | Resize(RGA): 3.2ms | YOLO(RKNN): 19.0ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.2ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0094] Decode(MPP): 8.2ms | Resize(RGA): 3.0ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 20.8ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0095] Decode(MPP): 7.6ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.0ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.2ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0096] Decode(MPP): 7.9ms | Resize(RGA): 3.0ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.4ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0097] Decode(MPP): 8.1ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.5ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0098] Decode(MPP): 7.8ms | Resize(RGA): 2.9ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.5ms
2026-07-20 18:14:38.020 [DEBUG] [Frame 0099] Decode(MPP): 8.4ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.1ms
2026-07-20 18:14:38.021 [DEBUG] [Frame 0100] Decode(MPP): 8.3ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.9ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.3ms
2026-07-20 18:14:38.021 [DEBUG] [Frame 0101] Decode(MPP): 8.3ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.7ms
2026-07-20 18:14:38.021 [DEBUG] [Frame 0102] Decode(MPP): 8.3ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 22.1ms
2026-07-20 18:14:38.021 [DEBUG] [Frame 0103] Decode(MPP): 7.8ms | Resize(RGA): 2.7ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.0ms
2026-07-20 18:14:38.021 [DEBUG] [Frame 0104] Decode(MPP): 7.5ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.8ms
