2026-07-20 18:20:39.003 [INFO] [System] COWdeploy Edge Benchmarking Suite v4.0 (Jetson Orin NX)
2026-07-20 18:20:39.003 [INFO] [System] Hardware: NVIDIA Jetson Orin NX (100 TOPS)
2026-07-20 18:20:39.003 [INFO] [System] OS: Ubuntu 24.04 LTS aarch64 (JetPack 7.2)
2026-07-20 18:20:39.003 [INFO] [Memory] Total RAM: 8.0 GB | Available: 6.1 GB
2026-07-20 18:20:39.003 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 18:20:39.003 [INFO] [Pipeline] Configuration: 
    - DeepStream Version: 9.1
    - Video Decode: nvv4l2decoder (Hardware NVDEC)
    - Preprocess: nvstreammux + nvvideoconvert (Hardware VIC)
    - Detection Backend: nvinfer (TensorRT INT8) - yolov8n-seg.engine
    - Feature Extractor Backend: nvinfer (TensorRT FP16) - dinov2_vits14.engine
    - Memory Architecture: NVMM (Zero-Copy Unified Memory)
2026-07-20 18:20:39.003 [INFO] [TensorRT] Loading engine yolov8n-seg.engine...
2026-07-20 18:20:39.103 [INFO] [TensorRT] Loaded successfully. Input: [1, 3, 640, 640]. Precision: INT8. DLA: Fallback to GPU (Ampere).
2026-07-20 18:20:39.103 [INFO] [TensorRT] Loading engine dinov2_vits14.engine...
2026-07-20 18:20:39.203 [INFO] [TensorRT] Loaded successfully. Input: [1, 3, 224, 224]. Precision: FP16. DLA: Fallback to GPU (Ampere).
2026-07-20 18:20:39.203 [INFO] [Pipeline] Starting asynchronous DeepStream pipeline...
2026-07-20 18:20:39.203 [DEBUG] [Frame 0000] Decode(NVDEC): 3.9ms | Mux(VIC): 0.8ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.8ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0011] Decode(NVDEC): 3.8ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.9ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.6ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0012] Decode(NVDEC): 3.8ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.6ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0013] Decode(NVDEC): 4.3ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.9ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.3ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0014] Decode(NVDEC): 3.7ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.9ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.8ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0015] Decode(NVDEC): 3.9ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.9ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.8ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0016] Decode(NVDEC): 3.6ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.3ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0017] Decode(NVDEC): 4.2ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.7ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.2ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0018] Decode(NVDEC): 4.3ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0019] Decode(NVDEC): 4.0ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.0ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0020] Decode(NVDEC): 3.7ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.5ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0021] Decode(NVDEC): 3.7ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.5ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.3ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0022] Decode(NVDEC): 3.8ms | Mux(VIC): 0.5ms | YOLO(TRT): 3.2ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.4ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0023] Decode(NVDEC): 3.6ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0024] Decode(NVDEC): 4.0ms | Mux(VIC): 0.7ms | YOLO(TRT): 4.1ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0025] Decode(NVDEC): 3.9ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.6ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.6ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0026] Decode(NVDEC): 4.2ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.9ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.8ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0027] Decode(NVDEC): 4.3ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.4ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0028] Decode(NVDEC): 3.8ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.4ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0029] Decode(NVDEC): 4.2ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.4ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.0ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0030] Decode(NVDEC): 4.4ms | Mux(VIC): 0.5ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0031] Decode(NVDEC): 4.4ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.2ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0032] Decode(NVDEC): 4.0ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.8ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0033] Decode(NVDEC): 4.2ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.7ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.1ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0034] Decode(NVDEC): 4.4ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.5ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.3ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0035] Decode(NVDEC): 4.4ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.4ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.2ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0036] Decode(NVDEC): 4.3ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.3ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0037] Decode(NVDEC): 3.7ms | Mux(VIC): 0.5ms | YOLO(TRT): 3.5ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.2ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0038] Decode(NVDEC): 3.9ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.6ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0039] Decode(NVDEC): 4.2ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.6ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.0ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0040] Decode(NVDEC): 4.1ms | Mux(VIC): 0.8ms | YOLO(TRT): 4.1ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0041] Decode(NVDEC): 4.4ms | Mux(VIC): 0.8ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.2ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0042] Decode(NVDEC): 4.4ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.7ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.3ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0043] Decode(NVDEC): 4.0ms | Mux(VIC): 0.6ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.6ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0044] Decode(NVDEC): 3.5ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.3ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0045] Decode(NVDEC): 4.2ms | Mux(VIC): 0.9ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.1ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0046] Decode(NVDEC): 3.9ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.8ms
2026-07-20 18:20:39.204 [DEBUG] [Frame 0047] Decode(NVDEC): 4.3ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.0ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0048] Decode(NVDEC): 4.4ms | Mux(VIC): 0.9ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.3ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0049] Decode(NVDEC): 4.3ms | Mux(VIC): 0.6ms | YOLO(TRT): 4.1ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0050] Decode(NVDEC): 4.0ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.6ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0051] Decode(NVDEC): 3.6ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0052] Decode(NVDEC): 3.9ms | Mux(VIC): 0.5ms | YOLO(TRT): 3.7ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.4ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0053] Decode(NVDEC): 3.8ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.8ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0054] Decode(NVDEC): 3.7ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.5ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.5ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0055] Decode(NVDEC): 4.5ms | Mux(VIC): 0.6ms | YOLO(TRT): 4.1ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.1ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0056] Decode(NVDEC): 3.7ms | Mux(VIC): 0.7ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0057] Decode(NVDEC): 4.0ms | Mux(VIC): 0.8ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0058] Decode(NVDEC): 4.1ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.9ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.0ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0059] Decode(NVDEC): 4.0ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.7ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0060] Decode(NVDEC): 4.1ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.6ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0061] Decode(NVDEC): 4.5ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.4ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.4ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0062] Decode(NVDEC): 4.3ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.8ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0063] Decode(NVDEC): 3.9ms | Mux(VIC): 0.9ms | YOLO(TRT): 4.1ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0064] Decode(NVDEC): 3.8ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.4ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0065] Decode(NVDEC): 3.8ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.6ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0066] Decode(NVDEC): 4.0ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.5ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0067] Decode(NVDEC): 4.2ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0068] Decode(NVDEC): 3.9ms | Mux(VIC): 0.9ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0069] Decode(NVDEC): 3.6ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.2ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.2ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0070] Decode(NVDEC): 4.3ms | Mux(VIC): 0.8ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.0ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0071] Decode(NVDEC): 4.0ms | Mux(VIC): 0.5ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.5ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0072] Decode(NVDEC): 3.9ms | Mux(VIC): 0.9ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.0ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0073] Decode(NVDEC): 4.3ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.7ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.3ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0074] Decode(NVDEC): 3.8ms | Mux(VIC): 0.7ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0075] Decode(NVDEC): 4.5ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.4ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.4ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0076] Decode(NVDEC): 4.2ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.7ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0077] Decode(NVDEC): 4.2ms | Mux(VIC): 0.5ms | YOLO(TRT): 3.6ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0078] Decode(NVDEC): 4.3ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.2ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0079] Decode(NVDEC): 3.6ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.4ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.2ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0080] Decode(NVDEC): 3.7ms | Mux(VIC): 0.5ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.2ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0081] Decode(NVDEC): 3.6ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.7ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.6ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0082] Decode(NVDEC): 4.0ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.7ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.6ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0083] Decode(NVDEC): 3.9ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.5ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0084] Decode(NVDEC): 4.2ms | Mux(VIC): 0.5ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0085] Decode(NVDEC): 3.5ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.4ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.5ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0086] Decode(NVDEC): 4.2ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.2ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0087] Decode(NVDEC): 4.4ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.2ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0088] Decode(NVDEC): 4.4ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.2ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.2ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0089] Decode(NVDEC): 4.3ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.6ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0090] Decode(NVDEC): 4.4ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.9ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.3ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0091] Decode(NVDEC): 4.1ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.4ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.0ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0092] Decode(NVDEC): 3.6ms | Mux(VIC): 0.6ms | YOLO(TRT): 4.1ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.6ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0093] Decode(NVDEC): 4.2ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.9ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.8ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0094] Decode(NVDEC): 4.2ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.7ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0095] Decode(NVDEC): 4.3ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.6ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.0ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0096] Decode(NVDEC): 4.0ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0097] Decode(NVDEC): 3.8ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.8ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.7ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0098] Decode(NVDEC): 3.9ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.5ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.8ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0099] Decode(NVDEC): 4.3ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.3ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.2ms
2026-07-20 18:20:39.205 [DEBUG] [Frame 0100] Decode(NVDEC): 4.3ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.6ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.3ms
2026-07-20 18:20:39.206 [DEBUG] [Frame 0101] Decode(NVDEC): 3.5ms | Mux(VIC): 1.0ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.0ms
2026-07-20 18:20:39.206 [DEBUG] [Frame 0102] Decode(NVDEC): 4.4ms | Mux(VIC): 0.5ms | YOLO(TRT): 3.4ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.0ms
2026-07-20 18:20:39.206 [DEBUG] [Frame 0103] Decode(NVDEC): 3.7ms | Mux(VIC): 0.8ms | YOLO(TRT): 4.1ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.9ms
2026-07-20 18:20:39.206 [DEBUG] [Frame 0104] Decode(NVDEC): 4.3ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.7ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 5.0ms
